#{"t_start": 1679336364.0527306, "env_id": null}
r,l,t
-4.432466,100,0.113256
-3.654095,100,0.200591
-4.199449,100,0.28953
-4.1,100,0.377937
-4.7,100,0.466399
-1,3,0.470021
-4.4,100,0.55752
-3.599993,100,0.644397
-1.6,100,0.733411
0.473638,100,0.818627
-0.2,100,0.917974
0.431852,100,1.011318
0.31417,100,1.098285
-0.2,100,1.183531
-1,73,1.246388
-1,13,1.256411
-0.399997,100,1.341778
0.138171,100,1.428925
-1,88,1.541721
-1,52,1.592062
-0.06375,100,1.682839
-1,43,1.720751
-1,34,1.750085
-1,97,1.839859
-1,72,1.907196
-1,37,1.942671
-1,80,2.016082
-1,72,2.077037
-1,31,2.106844
-1,38,2.148594
-1,70,2.210115
-1,44,2.248091
-1,48,2.287805
-1,85,2.360612
-1,19,2.377229
-1,85,2.450303
-1,30,2.476001
0.181264,100,2.561892
-1,23,2.582328
-1,76,2.646776
-1,72,2.70885
-1,7,2.716073
-1,40,2.760069
-1,84,2.837665
-1,46,2.87748
-1,45,2.915996
-1,71,2.979652
-1,86,3.053732
-1,36,3.083802
-1,62,3.137711
-1,11,3.146936
-1,26,3.168646
-1,23,3.189253
-1,80,3.257765
-1,65,3.31358
-1,15,3.326458
-1,88,3.40621
-1,22,3.427076
0,100,3.513272
-1,64,3.568208
-0.1,100,3.667394
-1,66,3.728535
-1,35,3.760554
-1,100,3.850657
0,100,3.937891
-1,78,4.0117
-1,52,4.057581
-1,7,4.06289
-1,91,4.141234
-1,35,4.170935
-1,47,4.215184
-1,98,4.297695
-1,13,4.309739
-1,45,4.347827
-1,19,4.364369
-1,26,4.385954
-1,22,4.403936
-1,77,4.472153
-1,84,4.55495
-1,96,4.641364
-1,19,4.658193
-1,67,4.714393
-1,46,4.7533
-1,41,4.787684
-1,13,4.799638
-1,38,4.832654
-1,77,4.897529
-1,92,4.976694
-1,8,4.98451
-1,13,4.996593
-1,89,5.070986
-1,96,5.156157
-1,41,5.190835
-1,44,5.229052
-1,8,5.234827
-1,15,5.247982
-1,45,5.28646
-1,71,5.347018
-1,6,5.35378
-1,37,5.393257
-1,21,5.412145
-1,50,5.456453
-1,38,5.491092
-1,57,5.543547
-1,26,5.569081
-1,25,5.590883
-1,69,5.650946
-1,17,5.666624
-1,83,5.738712
-1,48,5.780231
-1,71,5.840356
-1,7,5.845619
-1,28,5.870969
-1,71,5.935786
0,100,6.066803
0.295854,100,6.153752
-1,35,6.183685
-1,53,6.229773
-1,31,6.255848
-1,90,6.346313
-1,35,6.380819
-1,7,6.386302
-1,73,6.456105
0,100,6.544187
-1,95,6.624741
-1,39,6.658383
-1,53,6.702388
-1,34,6.731779
-1,87,6.807351
-1,44,6.843482
-1,15,6.8563
-1,35,6.886865
-1,85,6.967507
-1,25,6.989551
-1,23,7.010741
-1,31,7.037102
-1,82,7.108482
-1,50,7.150738
-1,57,7.201516
-1,87,7.283081
-1,45,7.325285
-1,17,7.34363
-1,43,7.382
-1,38,7.415948
-1,29,7.441166
-1,80,7.510682
-1,49,7.553153
-1,79,7.618813
-1,89,7.694642
-1,90,7.773788
-1,64,7.852301
-1,63,7.917678
-1,50,8.000559
-1,30,8.050868
-1,6,8.061036
-1,63,8.164858
-1,64,8.264414
-1,21,8.289673
-1,10,8.29867
-1,30,8.325595
-1,31,8.358585
-1,93,8.437445
-1,13,8.449516
-1,41,8.483809
-1,84,8.556134
-1,52,8.599653
-1,72,8.662304
-1,24,8.681613
-1,93,8.762938
-1,41,8.797779
-1,35,8.828009
-1,54,8.874835
-1,52,8.918729
-1,56,8.969325
-1,88,9.047057
-1,75,9.111276
-1,21,9.128879
-1,9,9.137294
-1,44,9.183863
-1,16,9.197733
-1,40,9.233441
-1,81,9.303334
-1,39,9.337704
-1,47,9.378738
-1,28,9.401175
-1,24,9.422678
-1,79,9.491287
-1,90,9.569361
-1,54,9.616393
-1,96,9.703472
-1,61,9.757081
-1,18,9.773744
-1,94,9.852618
-1,30,9.878522
-1,32,9.908113
-1,38,9.939857
-1,49,9.986666
-1,26,10.008662
-1,50,10.057131
-1,30,10.087899
-1,48,10.13051
-1,54,10.176934
-1,48,10.216829
-1,24,10.237958
-1,49,10.29292
-1,94,10.378304
-1,46,10.419227
-1,60,10.472861
-1,66,10.529269
-1,63,10.584204
-1,62,10.636449
-1,56,10.684539
-1,62,10.738806
-1,7,10.744056
-1,47,10.785487
-1,42,10.820966
-1,25,10.842432
-1,74,10.905946
-1,52,10.955807
-1,93,11.041613
-1,17,11.055874
-1,12,11.068677
0,100,11.161539
-1,88,11.236597
-1,50,11.280602
-1,35,11.310854
-1,30,11.336805
-1,76,11.401953
-1,66,11.460618
-1,54,11.50537
-1,36,11.538014
-1,9,11.544104
-1,11,11.555278
-1,79,11.621267
-1,58,11.671833
-1,73,11.735306
-1,23,11.753762
-1,18,11.770092
-1,55,11.820724
0,100,11.914944
-1,64,11.973265
-1,44,12.009884
-1,33,12.038946
-1,65,12.09518
-1,91,12.173393
-1,43,12.210932
-1,44,12.249261
-1,88,12.339412
-1,17,12.36044
-1,47,12.400688
-1,58,12.458288
-1,15,12.473039
-1,84,12.572471
0,100,12.681592
0,100,12.773263
-1,67,12.843589
-1,14,12.856552
-1,40,12.891562
-1,10,12.900253
-1,74,12.962417
-1,46,13.003569
-1,22,13.021737
-1,15,13.034623
-1,16,13.048076
-1,47,13.091416
-1,79,13.157969
-1,7,13.165231
-1,65,13.221036
-1,70,13.281053
-1,96,13.36359
-1,83,13.437459
-1,6,13.442266
-1,94,13.523215
-1,81,13.592335
-1,67,13.653815
-1,92,13.739602
-1,74,13.803694
-1,49,13.849337
-1,37,13.882889
-1,19,13.897346
-1,14,13.909699
-1,29,13.934947
-1,54,13.98992
-1,85,14.063722
-1,34,14.093395
-1,79,14.161882
-1,72,14.225137
-1,87,14.300412
-1,18,14.316856
-1,95,14.398742
-1,84,14.472669
-1,60,14.524231
-1,43,14.565919
-1,34,14.599241
-1,68,14.663372
-1,56,14.715792
-1,15,14.729675
0,100,14.822834
-1,61,14.877677
-1,74,14.941062
-1,82,15.012
-1,86,15.086423
-1,41,15.123402
-1,90,15.207346
-1,52,15.252297
-1,78,15.319178
-1,76,15.383768
-1,76,15.453913
-1,19,15.473023
-1,85,15.551533
-1,28,15.575225
-1,30,15.60142
0,100,15.688874
-1,80,15.758368
-1,32,15.787071
-1,45,15.825721
-1,44,15.86426
-1,81,15.932964
-1,76,16.001628
-1,51,16.045536
-1,28,16.072596
-1,16,16.086276
-1,13,16.098481
-1,56,16.145766
-1,25,16.167275
-1,57,16.215489
-1,59,16.266776
-1,47,16.306467
