#{"t_start": 1679384317.226124, "env_id": null}
r,l,t
-20.15298,300,0.237963
-25.752248,300,0.442931
-23.317119,300,0.64734
-24.12141,300,0.869875
-24.782388,300,1.075257
-23.878768,300,1.279779
-23.350113,300,1.488847
-21.469514,300,1.693521
-23.831021,300,1.897859
-23.892388,300,2.102175
-21.603534,300,2.309947
-10.04921,2,2.311466
-24.867725,300,2.516043
-23.201277,300,2.72093
-21.380416,300,2.938675
-24.831312,300,3.143265
-23.764202,300,3.347473
-22.881504,300,3.556543
-11.071467,16,3.567502
-24.228577,300,3.771423
-23.692009,300,3.975629
-21.281215,300,4.192718
-22.942278,300,4.480792
-24.367227,300,4.684254
-23.65287,300,4.889024
-23.599856,300,5.098904
-24.643447,300,5.304661
-9.247566,5,5.308075
-24.496771,300,5.512989
-24.581828,300,5.732476
-24.727057,300,5.936879
-10.399429,5,5.940399
-24.1422,300,6.14526
-9.587409,20,6.15885
-9.893484,9,6.164974
-23.996992,300,6.384367
-24.136061,300,6.588728
-10.087715,6,6.592967
-24.082063,300,6.797462
-24.199429,300,7.003135
-9.946526,10,7.010047
-24.118838,300,7.198631
-24.674582,300,7.334898
-23.366037,300,7.47111
-24.137695,300,7.615752
-10.093521,20,7.62483
-25.065296,300,7.763983
-22.802251,300,7.901746
-23.286528,300,8.042315
-22.48394,300,8.221935
-24.809688,300,8.35855
-23.968312,300,8.494724
-23.4307,300,8.63555
-24.526265,300,8.772275
-22.555178,300,8.908489
-23.387379,300,9.050122
-23.10915,300,9.18624
-9.964035,7,9.189388
-21.933687,300,9.324927
-23.53336,300,9.466004
-23.883989,300,9.605723
-10.223079,8,9.609426
-24.338472,300,9.749156
-23.519605,300,9.891617
-24.567722,300,10.029155
-8.336349,10,10.033736
-22.84136,300,10.170787
-25.579191,300,10.30779
-9.594324,8,10.311452
-24.498353,300,10.45278
-22.694991,300,10.589792
-22.687338,300,10.725658
-23.927688,300,10.867589
-22.817586,300,11.004457
-24.108892,300,11.184991
-15.106228,107,11.233422
-22.222899,300,11.37345
-11.519553,23,11.383959
-22.533563,300,11.523183
-23.749901,300,11.661433
-22.56232,300,11.819355
-24.79557,300,11.967283
-23.145255,300,12.105606
-23.058776,300,12.242996
-10.1,2,12.244024
-21.753076,300,12.515151
-22.786944,300,12.719793
-23.259654,300,12.920957
-24.619326,300,13.130993
-25.105942,300,13.335705
-22.917286,300,13.53877
-25.766713,300,13.748919
-22.685065,300,13.949885
-22.406192,300,14.15193
-8.635054,10,14.158552
-24.040875,300,14.361256
-21.295316,300,14.568369
-23.231255,300,14.770453
-21.603491,300,15.048546
-21.333842,300,15.252623
-23.672627,300,15.454515
-22.556661,300,15.656412
-22.905248,300,15.864428
-9.888583,10,15.871054
-22.222083,300,16.0715
-10.09999,3,16.073611
-21.871886,300,16.275182
-22.554037,300,16.477427
-22.842974,300,16.683417
-24.444146,300,16.819516
-21.66348,300,16.955632
-9.956695,18,16.963764
-24.061577,300,17.111865
-22.487124,300,17.249857
-20.825731,300,17.385473
-22.86689,300,17.534085
-22.686339,300,17.67149
-22.22707,300,17.807318
-23.559003,300,17.943371
-21.044354,300,18.082999
-9.542497,8,18.086698
-23.418707,300,18.222869
-22.733491,300,18.401241
-22.160364,300,18.566543
-22.802425,300,18.705905
-22.324539,300,18.892246
-9.933772,4,18.894154
-21.39646,300,19.04294
-9.529993,7,19.046211
-20.880364,300,19.185005
-10,2,19.185967
-21.435511,300,19.320673
-22.098688,300,19.490382
-22.723205,300,19.630996
-21.375383,300,19.766168
-21.271047,300,19.900947
-22.454148,300,20.040712
-22.364174,300,20.176388
-21.84593,300,20.31179
-21.745192,300,20.451313
-18.78005,300,20.587205
-21.830861,300,20.723144
-21.759774,300,20.863353
-20.482455,300,20.999779
-22.070163,300,21.168809
-21.510208,300,21.347755
-23.501498,300,21.48784
-20.716011,300,21.623736
-23.219744,300,21.759511
-20.391442,300,21.89879
-9.5687,11,21.903674
-9.658832,16,21.910917
-22.184122,300,22.04678
-22.200189,300,22.1818
-21.798121,300,22.330101
-10.392137,7,22.333339
-10.975574,17,22.340932
-10.199909,4,22.342763
-19.618119,300,22.477549
-22.235288,300,22.613472
-22.5427,300,22.74917
-23.459964,300,22.896478
-10.1,4,22.898286
-22.726583,300,23.034166
-21.397254,300,23.172191
-21.127339,300,23.319742
-23.999934,300,23.485082
-23.612453,300,23.622499
-22.36209,300,23.762275
-22.943191,300,23.898324
-21.939171,300,24.033542
-21.043247,300,24.168473
-22.213266,300,24.351228
-21.916193,300,24.486561
-22.397839,300,24.621851
-22.950384,300,24.761983
-21.688794,300,24.897393
-20.252748,300,25.033032
-22.774754,300,25.175401
-21.329646,300,25.31098
-23.460533,300,25.446443
-20.283414,300,25.605593
-22.75603,300,25.761038
-23.178544,300,25.913371
-20.852933,300,26.048532
-23.576008,300,26.188403
-8.880222,12,26.193772
-9.946302,17,26.201459
-22.374992,300,26.337523
-9.087241,28,26.350009
-23.839657,300,26.485927
-21.752949,300,26.633372
-22.228498,300,26.769092
-20.945837,300,26.904685
-21.351461,300,27.052928
-20.181556,300,27.23376
-21.231494,300,27.368775
-21.354281,300,27.503701
-20.981312,300,27.642893
-22.010695,300,27.778367
-8.892215,11,27.783311
-20.213689,300,27.944256
-10.169432,4,27.946149
-22.06528,300,28.125103
-18.931851,300,28.260505
-19.665698,300,28.395163
-20.479135,300,28.534321
-22.076361,300,28.670399
-20.178248,300,28.805859
-21.727476,300,28.941513
-17.808961,300,29.096185
-19.642368,300,29.233778
-22.464138,300,29.369545
-9.933423,13,29.37537
-19.568417,300,29.514869
-20.236718,300,29.650371
-9.746548,6,29.653392
-10.488802,15,29.660143
-10.2331,10,29.664639
-9.988228,17,29.672271
-9.954138,15,29.679039
-9.226461,8,29.68264
-23.807368,300,29.819007
-21.647031,300,29.967697
-21.713559,300,30.146696
-21.703675,300,30.282787
-21.052733,300,30.431652
-10.4,6,30.434453
-20.523841,300,30.568716
-18.469166,300,30.702724
-18.607239,300,30.837701
-19.61231,300,30.977768
-23.102496,300,31.114377
-21.228573,300,31.249918
-20.548321,300,31.388448
-19.779766,300,31.522611
-10.3,4,31.524608
-22.081586,300,31.661114
-18.624639,300,31.80066
-18.967768,300,31.937975
-20.938307,300,32.074197
-22.329467,300,32.210336
-16.590896,300,32.357143
-19.83309,300,32.494094
-19.641231,300,32.630046
-20.558749,300,32.814707
-21.227555,300,33.093816
-10.611706,9,33.099836
-21.76672,300,33.301562
-21.375435,300,33.520878
-19.914933,300,33.721654
-19.787298,300,33.922814
-18.312385,300,34.1238
-20.80117,300,34.330223
-19.205994,300,34.532045
-18.07299,300,34.732913
-20.74803,300,34.940583
-10.33212,10,34.94734
-18.462328,300,35.105165
-19.434895,300,35.243097
-10.965979,13,35.249062
-21.315443,300,35.388436
-21.396197,300,35.524027
-21.585059,300,35.659563
-10.689618,9,35.663768
-19.262678,300,35.799448
-10.776855,11,35.804452
-9.372776,5,35.818732
-21.335371,300,35.955423
-19.999445,300,36.09048
-21.388888,184,36.174026
-20.580341,300,36.321499
-21.402051,300,36.457274
-8.975863,14,36.463563
-9.671353,15,36.470387
-22.483467,300,36.649244
-18.787458,153,36.718431
-9.825622,22,36.728273
-10.767919,12,36.733741
-18.59863,300,36.880066
-21.313603,176,36.95937
-9.908476,7,36.962686
-16.107845,300,37.097849
-8.391606,11,37.102808
-9.582511,5,37.105093
-20.14975,300,37.254873
-17.180156,300,37.388677
-11.503727,37,37.405297
-17.313292,300,37.539215
-10.943334,17,37.546884
-19.84725,300,37.682312
-17.57521,300,37.829289
-11.0,11,37.834378
-19.311082,300,37.969925
-18.151581,300,38.104557
-19.252442,300,38.250944
-19.576855,300,38.385952
-17.469469,300,38.52005
-28.021911,271,38.654521
-17.429011,300,38.789804
-9.774211,15,38.796585
-20.281941,300,38.93193
-19.240277,300,39.067672
-18.882501,300,39.20976
-10.199999,4,39.211654
-10.399984,7,39.214842
-18.423954,300,39.350113
-21.233944,171,39.473466
-18.117574,300,39.646854
-17.641418,300,39.78076
-20.702452,300,39.91581
-17.602197,300,40.050622
-17.528957,300,40.197569
-17.243056,300,40.338605
-16.397566,300,40.538566
-9.291936,14,40.547853
-16.942093,300,40.764067
-19.160543,300,40.964446
-16.876461,300,41.164149
-18.070655,300,41.369052
-19.576434,300,41.56975
-17.259257,300,41.76984
-17.68836,300,41.969874
-12.151817,38,41.995346
-19.10675,300,42.200496
-9.40328,8,42.205768
-18.092369,300,42.404958
-20.419245,300,42.605849
-19.636814,300,42.810817
-18.165092,300,43.010196
-10.799944,12,43.018219
-17.446023,300,43.217612
-17.202475,300,43.499851
-17.397175,300,43.696232
-10.521709,18,43.70817
-17.050936,300,43.906952
-15.702147,300,44.123888
-16.518823,300,44.323137
-17.571498,300,44.521769
-17.292185,300,44.720366
-16.702204,300,44.937107
-19.047057,300,45.136582
-18.09303,188,45.261781
-17.777543,300,45.450399
-11.350152,23,45.46069
-16.876534,300,45.595861
-17.688749,300,45.731117
-16.825995,300,45.8651
