#{"t_start": 1679334518.0366178, "env_id": null}
r,l,t
-5.1,100,0.071163
-4.4,100,0.096758
-4.115167,100,0.122274
-4.406525,100,0.147911
-4.7,100,0.173702
-4.8,100,0.199432
-4.492867,100,0.225351
-5.499996,100,0.251274
-4.5,100,0.276991
-5.1,100,0.303049
-4.016256,100,0.34839
-5.099253,100,0.371941
-4.472935,100,0.395412
-4.7,100,0.419299
-5.1,100,0.442714
-4.9,100,0.466708
-4.5,100,0.490883
-5.044536,100,0.514323
-4.5,100,0.53752
-5.039778,100,0.560395
-3.528436,100,0.589566
-5.1,100,0.613339
-4.9,100,0.637216
-4.6,100,0.66073
-4.6,100,0.684288
-5.0,100,0.708083
-5.1,100,0.731777
-4.899023,100,0.755537
-4.4,100,0.779182
-5.4,100,0.802438
-3.639622,100,0.830976
-4.369788,100,0.854596
-4.00581,100,0.878313
-3.756387,100,0.90195
-4.8,100,0.92584
-4.497703,100,0.949255
-4.9,100,0.973274
-5.299999,100,0.99698
-5.3,100,1.020527
-4.393019,100,1.04385
-5.7,100,1.082503
-5.599832,100,1.105975
-4.2,100,1.129319
-4.0,100,1.152691
-5.296383,100,1.176641
-5.152084,100,1.200441
-3.625205,100,1.2239
-4.0,100,1.247141
-5.0,100,1.271203
-5.2,100,1.294703
-5.399988,100,1.323499
-4.8,100,1.347227
-6.2,100,1.371283
-4.786918,100,1.395015
-4.855846,100,1.418817
-6.5,100,1.442618
-4.9,100,1.466363
-3.3,100,1.489761
-4.382826,100,1.513219
-5.099998,100,1.536823
-5.099523,100,1.56579
-4.8,100,1.589443
-5.0,100,1.613053
-5.5,100,1.636882
-5.0,100,1.660948
-3.329124,100,1.686845
-4.149756,100,1.710619
-6.0,100,1.734514
-5.9,100,1.758536
-5.8,100,1.782003
-4.559105,100,1.811095
-5.8,100,1.835585
-4.44617,100,1.859401
-4.260751,100,1.882465
-3.6,100,1.905548
-5.1,100,1.92978
-4.5,100,1.953628
-4.759415,100,1.977273
-5.318943,100,2.001051
-5.4,100,2.024622
-5.276932,100,2.054108
-4.9,100,2.078326
-4.12622,100,2.101804
-3.9,100,2.12503
-5.0,100,2.148793
-5.3,100,2.172467
-4.4,100,2.195977
-5.4,100,2.219644
-4.840242,100,2.243498
-5.899985,100,2.267006
-5.4,100,2.285859
-5.5,100,2.300947
-4.496781,100,2.315733
-4.045207,100,2.330429
-4.6,100,2.34502
-3.457589,100,2.35989
-5.8,100,2.374646
-6.0,100,2.390627
-5.4,100,2.406326
-4.421482,100,2.422025
-3.709934,100,2.442692
-5.3,100,2.459053
-5.098979,100,2.474264
-6.017753,100,2.489808
-4.900497,100,2.508557
-5.1,100,2.525679
-4.413548,100,2.540614
-5.159658,100,2.555476
-4.378856,100,2.570466
-5.2,100,2.58529
-4.5,100,2.60364
-4.57658,100,2.618496
-5.7,100,2.633475
-5.171757,100,2.648143
-5.5,100,2.662998
-4.698901,100,2.67927
-4.69983,100,2.694265
-5.1,100,2.709042
-4.463187,100,2.723864
-4.7,100,2.738593
-4.19586,100,2.757134
-5.193593,100,2.771901
-4.6,100,2.786809
-4.6,100,2.801603
-5.4,100,2.817055
-4.257336,100,2.832
-5.1,100,2.846586
-6.5,100,2.861548
-4.601279,100,2.876414
-4.799991,100,2.891104
-4.410676,100,2.909729
-4.1,100,2.924493
-5.2,100,2.939435
-5.5,100,2.954325
-5.336276,100,2.969366
