#{"t_start": 1679327760.775743, "env_id": null}
r,l,t
-111.147972,1500,0.335166
-118.812187,1500,0.658124
-119.317216,1500,0.9801
-113.558636,1500,1.296465
-118.630745,1500,1.614691
-120.867437,1500,1.932333
-118.143108,1500,2.253112
-116.475294,1500,2.566483
-121.092694,1500,2.88449
-118.427436,1500,3.19656
-66.803607,867,3.37884
-101.548483,1275,3.647378
-117.950922,1500,3.963437
-13.460808,178,3.999858
-116.631107,1500,4.321449
-106.255652,1377,4.607857
-115.798669,1500,4.923608
-109.44232,1500,5.235671
-3.21175,31,5.242338
-70.267326,907,5.438247
-115.070185,1500,5.759943
-119.098759,1500,6.084763
-120.153118,1500,6.413179
-114.656655,1500,6.734242
-63.196791,841,6.913412
-110.687029,1500,7.227775
-117.402425,1500,7.583544
-0.518558,16,7.587
-114.887737,1500,7.942025
-116.309004,1500,8.328697
-119.963919,1500,8.719343
-55.411922,718,8.895898
-115.634774,1500,9.263138
-31.578751,388,9.350267
-117.036529,1500,9.70398
-120.632175,1500,10.029435
-118.069912,1500,10.390037
-114.821214,1500,10.70922
-3.903956,32,11.123198
-3.6,27,11.14356
-3.536115,27,11.161065
-4.574088,37,11.174219
-2.892659,20,11.18131
-6.190527,58,11.201752
-3.321705,25,11.210578
-3.1,22,11.218459
-2.223312,23,11.226614
-3.91309,34,11.238672
