#{"t_start": 1679348876.7520664, "env_id": null}
r,l,t
-117.042447,1500,0.471897
-7.365059,78,0.494621
-119.121745,1500,0.939841
-26.492819,343,1.004687
-17.816252,242,1.050509
-117.96436,1500,1.36659
-91.822919,1153,1.612678
-121.211929,1500,2.050346
-50.278383,668,2.248698
-113.445145,1500,2.685901
-118.771616,1500,3.12924
-115.937823,1500,3.564879
-120.372889,1500,4.008428
-118.105173,1500,4.440815
-118.712565,1500,4.78778
-59.974445,754,4.931994
-116.832538,1500,5.218018
-120.561556,1500,5.508594
-118.015403,1500,5.795355
-2.571893,48,5.804348
-119.239303,1500,6.093836
-71.287745,931,6.271063
-118.228942,1500,6.556251
-89.53452,1154,6.776136
-2.702949,24,6.780811
-118.765827,1500,7.072411
-118.118865,1500,7.434081
-69.216726,913,7.609449
-114.472778,1500,7.897717
-109.126753,1500,8.182598
-7.983646,98,8.201103
-12.124335,136,8.2305
-116.546694,1500,8.516256
-113.154517,1440,8.789503
-115.496864,1500,9.080279
-114.263773,1500,9.367255
-114.891146,1500,9.658653
-51.48334,692,9.792064
-115.539891,1500,10.147455
-116.227542,1500,10.585071
-18.157695,224,10.654932
-120.30011,1500,11.12808
-117.27655,1500,11.626334
-113.97699,1500,12.618419
-111.556754,1500,14.105502
-109.032639,1500,15.743526
-1.359687,9,15.750014
-107.44432,1500,17.00797
-107.26259,1500,18.457575
-106.758521,1500,19.98829
-99.437624,1500,21.465862
-99.863164,1500,22.735021
-78.673656,1154,23.974342
-102.5493,1500,25.55313
-96.209113,1500,27.114546
-7.487461,103,27.196387
-72.195683,1075,28.171729
-30.044146,526,28.814577
-36.176029,548,29.289719
-21.34199,339,29.704281
-35.492623,539,30.245786
-10.10564,133,30.352835
-82.185331,1328,31.644827
-4.560022,55,31.688716
-23.63565,413,32.012319
-77.116845,1172,33.086677
-33.908715,486,33.507584
-1.589175,14,33.517574
-17.541959,259,33.723975
-95.186779,1500,35.148951
-38.787388,602,35.783731
-3.385406,31,35.807975
-44.280948,698,36.403689
-39.383386,571,36.878975
-1.106987,10,36.886883
-59.664438,896,37.810448
-5.285421,93,37.89037
-44.442734,688,38.494051
-44.148967,655,39.195859
-8.107985,116,39.290671
-22.343532,389,39.692881
-47.728793,708,40.293429
-12.154279,201,40.461886
-14.372663,222,40.643683
-28.378683,486,41.15264
-45.513756,725,41.880478
-11.573776,160,42.010949
-2.253434,50,42.050466
-8.859514,154,42.178555
-51.969713,872,42.964807
-26.474601,471,43.502119
-77.104531,1500,45.101465
-74.142125,1320,46.326421
-4.750101,68,46.383017
-20.449491,302,46.672287
-1.8,11,46.682292
-8.140357,144,46.805237
-50.819535,977,47.699064
-36.548109,572,48.220888
-77.494034,1500,49.724318
0.453,18,49.74166
-36.923073,649,50.287815
-2.338681,18,50.302955
-0.167046,13,50.315854
-12.433542,228,50.538055
-27.569094,556,51.068392
-6.682268,116,51.168993
-3.948417,65,51.225597
-54.47039,1110,52.346566
-20.081762,413,52.72523
-15.363878,352,53.044994
-39.699032,849,53.991927
-15.300721,265,54.321283
-45.024084,874,55.203338
-19.544749,367,55.614775
-58.014646,1176,56.776172
-31.539727,634,57.340594
-2.565807,23,57.360286
-9.755299,171,57.596954
-39.675556,735,58.252117
-7.887141,160,58.470938
-1.685504,15,58.502535
-23.261258,447,59.002788
-11.186164,229,59.21215
-7.03116,98,59.299441
-1.437434,26,59.324058
-14.717743,277,59.712019
-32.354079,606,60.289551
-36.352204,717,61.191626
-15.237569,295,61.456575
-2.114939,54,61.5043
-8.230055,147,61.635696
-3.123334,36,61.668548
-17.732722,336,62.052995
-26.988448,613,62.603087
-1.450195,13,62.614136
-51.212114,955,63.580748
-4.09293,38,63.619488
-3.919005,61,63.674238
-43.808351,874,64.524695
-5.643816,77,64.595027
-24.586284,485,65.062587
-9.753237,217,65.289809
-3.033234,36,65.323194
-35.456941,719,66.064009
-7.245778,173,66.211165
-4.845091,140,66.334195
-1.925144,16,66.348543
-3.355774,37,66.380325
-24.593766,504,67.014591
-22.568417,436,67.393167
-8.580752,154,67.535535
-8.659712,203,67.821777
-3.390771,64,67.895733
-10.975479,266,68.176042
-20.567576,404,68.536387
-2.377432,21,68.555453
-9.520747,183,68.773496
-18.09491,321,69.130101
-16.552724,379,69.477834
-5.918717,97,69.566097
-14.756816,303,69.935084
-10.414501,210,70.11948
-4.718055,131,70.233463
-27.607823,597,70.864535
-7.944031,158,71.130712
-1.737969,22,71.151052
-1.551707,16,71.165672
-12.539959,237,71.379969
-23.074531,554,71.933445
-24.810041,597,72.773244
-0.848972,31,72.79986
-20.373272,457,73.35007
-9.171725,129,73.463975
-2.960273,65,73.519766
-8.945591,257,73.806126
-4.333809,85,73.886009
-42.876416,837,74.670812
-4.5545,129,74.781074
-4.995008,118,74.884501
-1.879554,24,74.905153
-3.127261,83,74.977543
-7.8751,143,75.104143
-5.044659,148,75.292372
-4.439419,76,75.358829
-11.684327,245,75.574046
-9.634448,196,75.742001
-5.956793,151,75.871586
-4.429485,87,75.947535
-1.588752,9,75.955149
-3.744921,130,76.132879
-11.004924,272,76.46356
-21.182968,560,77.133414
-0.056073,12,77.144456
-3.655825,38,77.1817
-10.60061,268,77.496111
-8.200855,186,77.666532
-12.045086,236,77.884911
0.150622,10,77.893476
-4.398943,40,77.932708
-7.159907,155,78.076947
-16.669321,428,78.573326
-10.04405,285,78.919019
-3.702188,60,78.975769
-2.814736,53,79.035577
-4.729229,159,79.183685
-5.186289,97,79.271392
-5.043661,116,79.417938
-11.137985,314,79.906629
-1.375449,15,79.937992
-11.392248,248,80.257773
-16.262814,355,80.582008
-2.479662,21,80.603471
-6.047335,105,80.759183
-2.5905,20,80.779016
-36.550032,766,81.552159
-23.271293,562,82.270128
-1.606886,14,82.282745
-12.474775,332,82.575209
-2.899995,33,82.606297
-1.300003,14,82.617869
-5.239584,95,82.703138
-3.835182,57,82.753274
-27.63887,580,83.318587
-11.239281,217,83.544154
-16.11509,359,83.932995
-3.28736,54,83.985324
-11.655341,276,84.242445
-10.973846,211,84.436788
-2.396247,35,84.46734
-2.809316,25,84.48949
-1.578307,19,84.507298
-2.501879,26,84.530978
-2.396605,17,84.546132
-3.402142,100,84.632875
-9.886481,305,84.962618
-5.383225,204,85.146689
-8.880897,237,85.358981
-12.900297,237,85.603261
-11.613077,242,85.951359
-2.869329,60,86.004766
-14.978474,389,86.437104
-6.1288,111,86.53931
-2.551898,30,86.567987
-2.667565,28,86.594676
-1.529948,18,86.609518
-18.863436,431,87.055126
-24.652997,560,87.767362
-10.303509,209,87.954829
-6.808525,179,88.251266
-4.111489,103,88.431346
-12.246534,224,88.678484
-0.759776,18,88.698739
-3.646874,63,88.814671
-5.47185,138,88.983984
-0.976305,9,89.009881
-0.582167,9,89.017675
-9.764757,237,89.346801
-17.714489,444,89.839135
-2.814061,48,89.882144
-12.388045,360,90.205338
-3.9204,74,90.274422
-3.323181,75,90.342236
-4.111786,56,90.394326
-1.590004,19,90.413028
-1.895375,19,90.477065
-27.878699,827,91.478135
-7.823708,226,91.787114
-1.606679,46,91.829005
-7.687987,165,91.975599
-2.898164,30,92.002511
-1.972797,58,92.051907
-13.756444,348,92.460871
-4.130077,95,92.553044
-9.139488,200,92.812957
-12.460455,416,93.313066
-1.761593,19,93.329843
-11.939225,294,93.66849
-2.213508,34,93.699325
-1.465898,25,93.725297
-2.373801,26,93.750024
-4.353597,115,93.856645
-0.876437,31,93.885641
-3.254892,119,94.022548
-2.062334,25,94.072436
-3.389954,160,94.28677
-1.389102,25,94.310208
-0.44663,18,94.326517
-16.709855,407,94.735251
-7.709885,164,94.895921
-3.010325,59,94.951537
-9.991325,212,95.242974
0.053142,10,95.251513
-1.299991,8,95.259168
-5.912423,166,95.412744
-0.470726,9,95.420974
-9.070642,242,95.645185
-2.115002,16,95.660547
-7.872822,179,95.825377
-0.994108,18,95.843565
-4.505427,89,95.938578
-7.694594,135,96.123421
-7.003215,167,96.293426
-3.295064,81,96.367168
-7.221523,159,96.511965
-14.032671,252,96.771252
-4.846912,166,96.921604
-2.977379,25,96.944747
-2.959757,147,97.126923
-2.879477,53,97.173097
-3.741293,56,97.233419
-2.97753,40,97.271257
-2.047746,26,97.297388
-1.560066,20,97.316423
-11.951097,465,97.806646
-2.441016,137,97.933674
-26.069835,684,98.740913
-4.847093,188,98.929443
-2.561835,61,99.020399
-1.433231,17,99.035984
-1.92888,31,99.065433
-0.509057,11,99.080771
-2.616994,33,99.144048
-1.969132,65,99.211363
-5.314802,97,99.348448
-3.856212,91,99.432296
-3.873868,62,99.489931
-4.596218,154,99.686775
-5.155045,158,99.837836
-4.516319,80,99.914622
-11.725075,206,100.177801
-3.230995,105,100.271161
-1.140961,19,100.289392
-0.631427,11,100.300117
-8.96273,272,100.699892
-7.848934,246,100.917273
-4.476174,90,101.00031
-3.106213,51,101.043497
-14.664505,435,101.466804
-1.503016,14,101.536377
-2.220156,20,101.555245
-2.704828,37,101.589734
-1.969625,20,101.608596
-5.306539,136,101.810613
-5.534939,97,101.908064
0.167258,17,101.924006
-4.280607,109,102.026658
-5.451711,143,102.161472
-5.11625,163,102.3104
-1.304853,22,102.37114
-1.538626,19,102.40477
-1.485835,43,102.444969
-5.305341,81,102.519444
-2.56668,36,102.554057
-2.663581,29,102.58319
-3.614537,83,102.762004
-1.399976,10,102.777238
-2.125007,69,102.909757
-1.902159,81,102.981774
-1.399998,11,102.992775
0.110541,9,103.001526
-1.441604,22,103.022567
-1.966908,38,103.057501
-3.05585,24,103.080706
-1.348885,28,103.105455
-0.275113,31,103.134755
-1.123977,30,103.164133
-0.58514,18,103.179222
-0.997676,36,103.211729
-1.865217,37,103.246021
-2.900844,28,103.272282
-2.090916,23,103.293614
-1.888499,20,103.311924
-1.05559,15,103.326138
-1.015339,31,103.354885
-7.447941,211,103.539703
-2.029785,28,103.566119
-5.295724,220,103.874745
-2.165215,35,103.908689
-8.221652,246,104.15128
-1.400826,10,104.160686
-3.443726,192,104.395555
-2.990364,37,104.429736
-5.895516,173,104.589612
-3.10553,119,104.696922
-3.780199,45,104.740254
-4.660417,154,104.924337
-1.089901,16,104.939926
-8.479771,151,105.079539
-2.085799,16,105.095076
-5.007129,124,105.213784
-1.056036,13,105.227141
-2.319103,45,105.294092
-3.553975,67,105.432283
-1.81935,22,105.471364
-0.333996,27,105.511116
-0.879645,72,105.627479
-1.683615,28,105.653505
-2.034481,31,105.696891
-0.573451,40,105.742692
-1.596904,18,105.777331
-2.493532,21,105.796904
-7.663197,101,105.993555
-10.712303,347,106.543464
-1.528618,57,106.612126
-5.544223,207,106.805349
-7.813809,213,107.009076
-11.544275,267,107.311384
-1.109828,27,107.370015
-2.604252,48,107.444193
-3.097796,29,107.47167
-16.651055,505,108.028394
-0.221361,61,108.084791
-7.723095,339,108.397439
-0.83256,14,108.41216
-2.738531,40,108.491505
-0.835682,17,108.507127
-1.985113,20,108.526183
-4.457022,57,108.577283
-4.03066,95,108.667293
-1.441433,14,108.67948
-2.930978,73,108.747946
-3.613927,96,108.833574
-1.652687,24,108.855931
-1.000524,17,108.87096
-4.781317,101,108.962428
-1.224715,32,108.99124
-2.382211,103,109.084669
-8.011988,227,109.286869
-8.520406,212,109.522709
-3.00766,73,109.588089
-1.772502,15,109.602336
0.247055,23,109.62239
-1.350137,16,109.637022
-0.703288,33,109.668104
-0.647818,11,109.677901
-0.857055,15,109.692353
-2.199979,13,109.704668
-2.720643,114,109.807405
-3.872677,105,109.902442
-2.562807,59,109.962461
-0.375877,34,109.993433
-3.349814,86,110.074415
0.159818,12,110.086202
-2.259912,32,110.116067
-3.988679,152,110.256491
-5.031516,116,110.406171
-3.17914,137,110.56537
-2.742197,30,110.594897
-1.4145,38,110.666542
-1.467797,29,110.718484
-2.098729,19,110.752767
-4.814208,99,110.922342
-0.764318,35,110.989321
-1.988023,80,111.064196
-5.373764,63,111.123439
-2.199131,18,111.142133
-1.929345,27,111.16813
-0.288417,40,111.20456
-4.056159,106,111.304611
-0.501926,14,111.318815
-6.452228,134,111.446476
-1.588005,19,111.464912
-1.567254,14,111.477938
-2.804127,48,111.524515
-2.980298,97,111.651193
-1.672255,13,111.662801
-1.938603,16,111.678291
-1.659497,17,111.694227
-10.963336,204,111.884304
-2.840896,105,111.982274
-1.176715,47,112.026749
-2.0,16,112.042269
-1.178902,6,112.049471
-3.014794,65,112.110049
-1.65199,86,112.188719
-0.677674,21,112.209695
-2.63809,137,112.374558
-0.780661,42,112.445075
-0.177131,48,112.53122
-1.543326,80,112.646912
-1.181209,6,112.661896
-2.722472,94,112.82961
-3.684519,64,112.930664
-1.764579,51,113.02142
-6.382479,136,113.194886
-1.279814,14,113.208977
-0.600537,23,113.228566
-0.532505,21,113.250882
-1.746414,15,113.272195
-0.510408,19,113.30694
-0.172971,48,113.402385
-2.604783,83,113.570463
-2.039643,35,113.620976
-3.385776,125,113.734977
-1.399802,10,113.743638
-3.714484,42,113.783735
-0.299554,13,113.796222
-2.985896,46,113.839911
-1.9,13,113.852088
-3.458218,107,113.954336
-4.822719,163,114.246664
-3.764009,85,114.325363
-2.008868,16,114.340886
-3.199998,27,114.365605
-10.330848,227,114.698324
-4.950462,185,114.983437
-1.499968,11,115.007224
-3.477279,101,115.113635
-6.029504,198,115.302562
-1.479544,55,115.405554
-1.62577,73,115.506024
-1.631827,25,115.528789
-7.277543,384,115.987943
-1.313734,24,116.04352
-5.586109,50,116.09271
-6.849642,101,116.187444
-4.685094,84,116.265176
-1.932415,23,116.287425
-3.66499,45,116.327775
-1.625209,10,116.33645
-2.445861,32,116.366482
-8.646085,121,116.481324
-1.425515,28,116.576506
-3.61453,91,116.703761
-3.7,29,116.733884
-5.815898,190,116.959682
-4.350802,44,117.004796
-0.693049,12,117.017428
-1.08202,8,117.025435
-5.06709,82,117.105015
-5.483163,246,117.336108
-1.098116,16,117.351065
-1.209955,24,117.373636
-3.850296,113,117.47749
-2.432451,17,117.495226
-3.005487,22,117.515298
-0.369258,11,117.525936
-7.165511,280,117.810266
-1.271004,28,117.835801
-2.511035,28,117.861588
-2.471505,104,117.958012
0.249839,19,117.976576
-1,14,117.988864
-0.517581,21,118.007823
-0.572144,43,118.048311
-6.074312,163,118.197476
-0.322159,17,118.213086
-0.341933,63,118.311629
-3.730268,148,118.482522
-4.425748,71,118.551194
-4.598955,104,118.708729
0.341441,8,118.724601
-2.092231,49,118.805581
-7.210791,143,118.936696
-2.783962,147,119.069419
-0.946173,17,119.085824
-6.722224,235,119.312241
-2.844054,34,119.346073
-2.368292,97,119.439145
-1.598435,23,119.461557
-3.091132,113,119.567034
0.006022,130,119.72426
-0.576022,25,119.773348
-0.92881,19,119.808719
-0.693495,26,119.832428
-0.572652,45,119.873305
-0.016773,13,119.886888
-2.399687,112,119.989545
-3.1,26,120.013468
-3.947109,49,120.059896
