#{"t_start": 1679334500.7885175, "env_id": null}
r,l,t
-5.499989,100,0.075303
-4.6,100,0.116546
-5.699771,100,0.158103
-5.3,100,0.199671
-4.9,100,0.241013
-5.3,100,0.281855
-4.504616,100,0.322898
-3.862848,100,0.363693
-5.299999,100,0.404728
-4.799756,100,0.446249
-4.67352,100,0.503756
-4.89998,100,0.545371
-5.1,100,0.586994
-4.3,100,0.628352
-4.8,100,0.669611
-4.9,100,0.71071
-4.5,100,0.753319
-5.6,100,0.795495
-4.124731,100,0.837108
-4.5,100,0.878418
-5.0,100,1.481787
-5.1,100,1.523397
-3.100497,100,1.564843
-4.848951,100,1.6062
-4.0,100,1.647431
-4.5,100,1.688708
-3.6,100,1.730663
-3.499999,100,1.771642
-3.99703,100,1.812263
-4.0,100,1.85333
-4.5,100,1.907022
-3.099997,100,1.948046
-3.9,100,1.989192
-4.4,100,2.03052
-4.1,100,2.07185
-4.1,100,2.112906
-4.006212,100,2.153939
-4.2,100,2.195113
-4.5,100,2.236627
-4.3,100,2.277896
-4.685624,100,2.880381
-3.2,100,2.920977
-3.373362,100,2.961622
-3.1,100,3.002042
-2.685255,100,3.042688
-3.198363,100,3.084109
-2.964614,100,3.125156
-3.770237,100,3.166408
-2.971852,100,3.207085
-2.476237,100,3.248702
-2.8,100,3.301867
-3.1,100,3.342695
-1.830084,100,3.383554
-2.719144,100,3.424419
-3.295406,100,3.465103
-3.1,100,3.506119
-2.078065,100,3.546934
-3.686558,100,3.588206
-2.9,100,3.629224
-2.704861,100,3.670419
-1.763035,100,3.723333
-1.431966,100,4.311539
-2.69998,100,4.35218
-2.7659,100,4.392934
-1.899999,100,4.43343
-1.9,100,4.473806
-2.5,100,4.514504
-2.6,100,4.554742
-2.493621,100,4.595233
-2.5,100,4.636151
-2.647283,100,4.689003
-1.252486,100,4.729749
-2.0,100,4.771394
-2.468789,100,4.812148
-2.4,100,4.852881
-2.9,100,4.893785
-2.299595,100,4.93435
-3.3,100,4.975215
-3.099532,100,5.01609
-2.4,100,5.056531
-2.4,100,5.110345
-2.7,100,5.698716
-0.987296,100,5.739136
-1.9,100,5.77987
-2.1,100,5.820671
-1.7,100,5.861212
-1.6,100,5.901653
-1.5,100,5.942098
-1.9,100,5.982569
-1.8,100,6.023215
-0.608004,100,6.078163
-1.517754,100,6.118646
-1.444999,100,6.159128
-2.2,100,6.199796
-1.6,100,6.240374
-1.8,100,6.280933
-1.3,100,6.321201
-1.236339,100,6.361312
-1.8,100,6.401813
-1.69908,100,6.44254
-1.183687,100,6.496876
-2.2,100,6.537379
-2.5,100,7.126144
-1.199214,100,7.166199
-1.3,100,7.20622
-1.5,100,7.246622
-2.1,100,7.287327
-1.131751,100,7.327644
-1.5,100,7.367856
-1.2,100,7.407742
-1.5,100,7.461435
-1,9,7.465085
-1.034163,100,7.505632
-1.801728,100,7.545995
-1.4,100,7.586276
-1.8,100,7.626742
-0.899928,100,7.666841
-1.6,100,7.707441
-1,5,7.709503
-1,6,7.711945
-1.2,100,7.752253
-1.1693,100,7.792615
-0.730946,100,7.845787
-1.49979,100,7.886525
-1.299989,100,7.926706
-1.5,100,8.518439
-1.2,100,8.558494
-0.276005,100,8.598524
-0.355698,100,8.63858
-1,10,8.642584
-0.6,100,8.68218
-1.0,100,8.722095
-0.799999,100,8.762751
-0.150503,100,8.816088
-1.0,100,8.856377
-0.585527,100,8.896881
-1.6,100,8.937207
-0.691625,100,8.977586
-0.7,100,9.017746
-0.887937,100,9.058172
-0.301057,100,9.098546
-1,4,9.100211
-0.962655,100,9.140369
-1.3,100,9.180773
-1.352964,100,9.23406
-1.6,100,9.274664
-1.0,100,9.31496
-1.6,100,9.355471
-0.712925,100,9.948883
-0.5,100,9.988775
-1.078682,100,10.029245
-1.093401,100,10.069746
-1.177929,100,10.110009
-0.699803,100,10.150195
-1.1,100,10.2045
0.448704,100,10.244783
-0.164871,100,10.285029
-0.7,100,10.325062
-1.0,100,10.365206
0.298,100,10.405249
-0.599968,100,10.446095
-0.9,100,10.486327
-0.7,100,10.526263
-1,16,10.532676
-0.893895,100,10.572766
-0.681632,100,10.626045
-0.699746,100,10.666023
-1.1,100,10.707091
-0.765759,100,10.74726
-1.2,100,11.336251
-0.9,100,11.376273
-0.399996,100,11.41737
-0.574373,100,11.457305
-1,56,11.479542
-1.0,100,11.519767
-0.8,100,11.573051
-0.5,100,11.613092
-0.9,100,11.653202
-1.1,100,11.693504
0.045972,100,11.733377
-1.1,100,11.773659
-0.7,100,11.813654
-1.0,100,11.853834
-0.5,100,11.894769
-0.686783,100,11.934943
-0.286656,100,11.987545
-1.0,100,12.027924
0.41135,100,12.068165
-1,8,12.071404
-0.9,100,12.111572
-0.996154,100,12.15168
-0.499997,100,12.74616
-0.123222,100,12.786142
-0.595075,100,12.826067
-1,8,12.829264
-0.699957,100,12.869154
-0.7,100,12.908954
-0.899096,100,12.96228
-0.478015,100,13.002363
-1,9,13.006006
-0.8,100,13.046096
-0.5,100,13.086543
0.144751,100,13.126722
-1,15,13.132734
-1,15,13.138835
-0.5,100,13.178803
-0.798804,100,13.219042
-0.5,100,13.259491
-1,7,13.26234
0.131699,100,13.302534
-0.2,100,13.342581
0.189186,100,13.39628
0.40783,100,13.436249
-0.18506,100,13.476161
-0.6,100,13.516237
-0.227197,100,13.556411
-0.3,100,14.145151
-0.499805,100,14.184899
0.167788,100,14.22638
-0.207129,100,14.266382
-1,17,14.273072
-0.198791,100,14.312466
-0.499905,100,14.365675
-1,20,14.373731
-0.009585,100,14.413831
0.420762,100,14.454714
0.343956,100,14.494832
-1,7,14.497693
-0.3,100,14.537789
-0.29281,100,14.577813
-1,41,14.594189
-1,5,14.596491
0.547457,100,14.63674
-0.497486,100,14.676808
-0.145283,100,14.716788
0.522281,100,14.76944
-0.511414,100,14.809576
-0.399818,100,14.849475
-0.4,100,14.889564
-0.399461,100,14.929502
-0.499971,100,15.520432
-0.199989,100,15.560622
-0.199945,100,15.601317
-0.104259,100,15.641686
-0.2,100,15.682173
0.887304,100,15.735019
-0.299133,100,15.775059
-0.091051,100,15.815235
-0.151909,100,15.855717
0.707495,100,15.896319
0.695273,100,15.937741
-0.299898,100,15.977909
-0.486194,100,16.01821
-0.03034,100,16.058262
-0.028322,100,16.098341
-0.2,100,16.150839
0.452058,100,16.190882
0.798582,100,16.230984
0.816909,100,16.271368
0.073706,100,16.311285
-0.2,100,16.351151
-0.3,100,16.950928
0.707278,100,16.990829
-0.194763,100,17.030757
-0.2457,100,17.071022
0.723911,100,17.123967
-0.1,100,17.16455
0.343315,100,17.208224
0.142373,100,17.25195
0.268547,100,17.292544
0.247086,100,17.332728
-0.099983,100,17.372985
1.743617,100,17.414992
0.307662,100,17.455024
-0.060589,100,17.49595
0.090091,100,17.550053
0.002329,100,17.591095
-0.262488,100,17.631689
-0.396274,100,17.672122
0.217204,100,17.71271
-0.166663,100,17.754221
0.26268,100,18.361366
-1,50,18.381534
1.924731,100,18.422684
-0.1,100,18.463795
0.360112,100,18.517565
-1,40,18.533744
0.207013,100,18.573977
0.668131,100,18.614686
-1,7,18.617568
0.570274,100,18.657879
0.200704,100,18.698306
-0.006423,100,18.738527
0.05494,100,18.778689
-1,67,18.805871
-1,15,18.811934
0.092712,100,18.852127
0.480221,100,18.892977
-1,33,18.906352
0.582298,100,18.961997
1.49418,100,19.003406
-0.06589,100,19.044903
-0.294619,100,19.085648
-1,32,19.098678
-1,13,19.104125
-1,30,19.116264
-0.009848,89,19.151809
0.744012,100,19.19198
0.475389,100,19.82065
0.966844,100,19.861103
1.33193,100,19.901546
0.36672,100,19.956201
0.122525,100,19.996764
0.351746,100,20.03708
-0.1,100,20.077727
-0.095997,100,20.11822
0.959612,100,20.158734
-0.069331,100,20.199179
-0.00959,100,20.240704
0.235796,100,20.281106
-0.190655,100,20.321432
0.815629,100,20.374221
0.284867,100,20.414943
0.668146,100,20.456744
-0.18938,100,20.497341
0.501384,100,20.537611
0.679865,100,20.577983
0.867007,100,20.618342
0.916123,100,21.226733
0.133854,100,21.268081
-0.045447,100,21.308968
-1,38,21.324378
0.720584,100,21.377856
0.986855,100,21.41953
0.794163,100,21.459953
0.861485,100,21.500782
-0.969872,94,21.539979
0.001525,100,21.580283
0.541169,100,21.620421
0,100,21.660357
-0.02338,100,21.700596
-0.148091,100,21.743286
0.003405,100,21.818531
0.985774,100,21.881842
-1,6,21.88574
0.600311,100,21.949426
0.992545,100,22.012517
1.1453,100,22.076132
0.625006,100,22.139586
0.902268,100,22.203009
0.341441,100,23.236426
0.158434,100,23.277294
-0.165139,100,23.318536
0.262719,100,23.377236
1.454191,100,23.41872
0.326092,100,23.460221
-0.191431,100,23.512213
1.451986,100,23.577271
0.600576,100,23.641608
1.721862,100,23.706207
0.21628,100,23.768538
0.684922,100,23.833107
0.617688,100,23.897914
0.567248,100,23.981102
0.132718,100,24.04429
0.763783,100,24.10785
1.649797,100,24.171779
0.544813,100,24.235984
-0.01569,100,24.298377
0.696586,100,24.361914
0.876737,100,24.425615
1.764042,100,25.194731
0.885882,100,25.235219
-1,22,25.244082
0.482566,100,25.297356
0.110847,100,25.33762
0.185443,100,25.377957
0.984021,100,25.419521
-0.099989,100,25.460032
0.311977,100,25.501006
0.931366,100,25.541435
0.789395,100,25.582664
0.831658,100,25.623415
0.638945,100,25.664322
0.987068,100,25.718488
0.964462,100,25.759587
0.428071,100,25.800439
-0.371589,87,25.835902
0.737663,100,25.87687
0.493073,100,25.917469
0.921719,100,25.958767
0.53902,100,25.999472
0.863192,100,26.605829
0.903362,100,26.646584
0.911925,100,26.702934
-0.097235,100,26.743384
0.001455,100,26.783785
0.023458,100,26.824065
0.703587,100,26.864292
0.651045,100,26.904635
0.274497,100,26.94518
1.933435,100,26.985756
0.796425,100,27.0262
0.58249,100,27.066725
1.131386,100,27.136497
1.064449,100,27.178007
0.844521,100,27.219488
1.52247,100,27.260826
1.899302,100,27.301969
0.906739,100,27.343149
0.294875,100,27.384293
1.92381,100,27.425464
1.664205,100,27.466712
-0.080036,100,28.099405
-0.047493,100,28.153983
0.021929,100,28.195371
0.703156,100,28.236916
-1,19,28.244807
-1,79,28.277692
0.741911,100,28.319094
1.64004,100,28.360862
1.594352,100,28.4023
0.541992,100,28.444818
-1,3,28.446156
-1,56,28.469614
0.014154,100,28.510865
-0.052566,100,28.556785
-1,7,28.559776
0.131496,100,28.601395
0.878108,100,28.643009
0.201503,100,28.684621
0.395788,100,28.72723
0.59403,100,28.768701
-1.028484,89,28.806163
-0.027131,100,28.847562
-1,38,28.863335
-0.229261,74,28.894003
1.84884,100,28.935104
0.259267,100,29.571197
0.18616,100,29.61265
1.680039,100,29.653997
-0.0072,100,29.695309
-0.077764,100,29.739418
0.830361,100,29.783676
-0.099283,100,29.825645
0.324718,100,29.867062
0.661105,100,29.908463
-0.088881,100,29.950956
0.671345,100,29.99624
0.500631,100,30.038028
-0.199999,100,30.079896
0.970306,100,30.121585
-0.163405,100,30.163333
0.250491,100,30.205393
0.676102,100,30.247349
-0.098609,100,30.289264
0.99425,100,30.330528
-0.022696,100,30.371789
0.830152,100,31.005787
-0.066644,100,31.047168
0.739249,100,31.088644
0.032787,100,31.130493
0.473921,100,31.171901
0.229401,100,31.213546
0.986467,100,31.254874
0.912625,100,31.296336
0.364439,100,31.337758
0.636571,100,31.379053
0.389983,100,31.424844
0.80528,100,31.466557
0.96899,100,31.507993
-0.045723,100,31.549716
-0.810233,99,31.590723
0.760087,100,31.63224
-0.038345,100,31.673635
1.563411,100,31.715703
0.979689,100,31.758194
0.884835,100,31.799698
-0.002765,100,31.845186
0.935726,100,32.480966
1.03955,100,32.522774
1.817157,100,32.5645
1.622519,100,32.606389
0.685114,100,32.647939
-1,74,32.678908
0.85997,100,32.721799
-0.021783,100,32.763349
0.997301,100,32.805479
0.607676,100,32.857352
0.111765,100,32.922263
0.173378,100,32.987663
0.350375,100,33.053587
0.008686,100,33.119592
-1,16,33.13021
0.631225,100,33.196068
0.260125,100,33.261853
0.815165,100,33.327362
0.841858,100,33.393034
0.946699,100,33.43703
1.003975,100,33.483238
-0.010747,100,34.130675
0.796618,100,34.172229
0.847114,100,34.214613
-0.043733,100,34.256151
0.971485,100,34.29794
1.172879,100,34.339849
0.983345,100,34.381281
0.998527,100,34.423357
0.983611,100,34.466127
0.268479,100,34.512662
0.11208,100,34.555202
0.672147,100,34.596981
0.424427,100,34.64122
0.992303,100,34.687181
0.626246,100,34.732311
0.88053,100,34.774535
1.374074,100,34.824533
0.908235,100,34.867126
0.73584,100,34.908577
0.635574,100,34.954672
1.164099,100,34.996653
0.005353,100,35.652914
0.970814,100,35.696478
0.607803,100,35.73993
0.172093,100,35.781355
0.546985,100,35.822678
0.565549,100,35.864122
1.381394,100,35.905715
0.877353,100,35.948155
0.692858,100,35.994056
1.450398,100,36.035759
0.992022,100,36.07744
0.999928,100,36.118723
-0.031274,100,36.160119
0.911194,100,36.201771
-0.604997,76,36.233534
0.157362,100,36.274677
0.170702,100,36.315904
0.930832,100,36.357147
0.964225,100,36.412888
1.080339,100,36.456998
0.435265,100,37.122594
0.826462,100,37.185771
0.112396,100,37.248828
1.213479,100,37.311971
0.938372,100,37.374962
0.906323,100,37.437931
0.950053,100,37.500968
0.636912,100,37.563931
0.992749,100,37.646775
0.896871,100,37.706518
1.576465,100,37.748778
0.986671,100,37.789842
0.899361,100,37.831129
1.495882,100,37.872704
0.358287,100,37.913816
0.363713,100,37.955985
1.229685,100,37.997225
0.618864,100,38.038803
1.762305,100,38.093813
1.617916,100,38.135419
0.789494,100,38.176381
0.981722,100,38.808781
0.200818,100,38.849995
0.592197,100,38.891663
1.205736,100,38.932916
0.982215,100,38.974181
0.874587,100,39.01539
0.738578,100,39.056603
1.735652,100,39.111795
0.6363,100,39.178441
1.347417,100,39.222007
0.323537,100,39.263551
-0.076637,100,39.305741
-0.065075,100,39.347544
0.271809,100,39.389561
1.201733,100,39.430795
1.447356,100,39.472078
-0.014877,100,39.512999
0.149741,100,39.567653
0.268799,100,39.608689
0.361542,100,39.651899
1.605542,100,40.289987
0.539618,100,40.33123
0.521463,100,40.37256
0.508755,100,40.414363
1.537295,100,40.455678
0.97408,100,40.498442
0.585784,100,40.539668
-0.143826,100,40.585789
0.550002,100,40.627253
0.614442,100,40.668776
1.975444,100,40.712581
0.923201,100,40.753834
0.54372,100,40.809185
0.831378,100,40.872702
0.434135,100,40.936253
0.903459,100,40.999817
1.325583,100,41.063422
1.439639,100,41.147164
0.951905,100,41.210969
0.465491,100,41.274778
0.1895,100,41.338408
0.500546,100,42.178817
0.039444,100,42.220489
0.834314,100,42.261787
0.93593,100,42.303079
0.96174,100,42.344328
0.688387,100,42.385449
0.836125,100,42.431277
0.586581,100,42.474398
0.90368,100,42.515866
0.602879,100,42.557214
0.999192,100,42.598674
0.640634,100,42.64065
0.277606,100,42.682178
0.990837,100,42.725904
0.582948,100,42.767293
0.120878,100,42.808982
0.411576,100,42.854606
0.010541,100,42.8959
0.887145,100,42.937852
0.14943,100,42.979377
0.618025,100,43.605824
0.838157,100,43.647533
0.977091,100,43.689047
0.903086,100,43.731153
0.21049,100,43.7739
1.067312,100,43.815904
0.838332,100,43.861815
0.571317,100,43.906794
0.961736,100,43.970557
0.9491,100,44.033407
0.006662,100,44.096011
0.841574,100,44.157667
0.964952,100,44.205003
0.624828,100,44.246193
1.512707,100,44.286869
1.079819,100,44.327713
0.940988,100,44.39055
1.294369,100,44.450648
1.169721,100,44.491526
0.62827,100,44.532565
0.937124,100,44.573188
0.228023,100,45.195733
0.857025,100,45.236972
1.823399,100,45.278094
1.820758,100,45.318961
0.930778,100,45.36002
0.868703,100,45.413819
0.983853,100,45.454788
0.609316,100,45.495832
0.826902,100,45.536722
0.001264,100,45.577239
1.440781,100,45.617739
1.377864,100,45.658338
0.698125,100,45.698817
1.523152,100,45.739618
0.46947,100,45.78054
1.258524,100,45.82534
0.867791,100,45.866059
1.159643,100,45.906582
0.735732,100,45.947294
0.9129,100,45.988935
0.40975,100,46.608848
0.965199,100,46.650131
0.124459,100,46.690781
1.132382,100,46.733613
1.190403,100,46.774486
0.364021,100,46.823455
0.999646,100,46.864642
0.931462,100,46.905653
0.681159,100,46.947009
0.841159,100,46.987981
0.260356,100,47.02864
0.833891,100,47.069407
0.509166,100,47.110685
1.802336,100,47.151746
0.720495,100,47.193017
1.994693,100,47.238855
0.666847,100,47.280086
0.922436,100,47.32133
1.328994,100,47.362342
1.595012,100,47.40356
0.919953,100,47.444144
0.974862,100,48.064422
0.431477,100,48.105555
1.841521,100,48.14671
1.484491,100,48.187902
0.284392,100,48.252148
1.659803,100,48.310402
0.623671,100,48.351355
0.45488,100,48.392467
1.031808,100,48.43352
1.617037,100,48.476043
0.693006,100,48.516664
0.916193,100,48.557294
1.079191,100,48.598082
-0.065837,100,48.639119
0.795577,100,48.693479
1.805365,100,48.736631
0.887045,100,48.777503
-0.065674,100,48.821253
0.891355,100,48.862011
1.923155,100,48.903007
1.803996,100,49.522081
0.933617,100,49.562646
1.679969,100,49.603364
0.787087,100,49.643997
0.97939,100,49.701016
0.969313,100,49.762283
0.997524,100,49.826486
0.763805,100,49.890828
0.629127,100,49.954373
0.908697,100,50.018246
1.895566,100,50.082073
0.937833,100,50.129735
1.001572,100,50.170695
0.498049,100,50.211795
0.963997,100,50.266968
1.997369,100,50.307921
0.986291,100,50.348752
0.578018,100,50.389851
1.516671,100,50.430421
1.920217,100,50.472137
0.835501,100,50.513324
0.855169,100,51.137829
0.248397,100,51.178455
1.768729,100,51.219586
0.542555,100,51.273775
1.177335,100,51.315096
0.998724,100,51.355884
0.823387,100,51.396538
0.915566,100,51.437146
0.957674,100,51.477831
0.674046,100,51.518694
1.990337,100,51.559321
0.89989,100,51.600044
0.441215,100,51.640655
0.195775,100,51.694981
1.888001,100,51.736374
1.985898,100,51.777723
0.415598,100,51.818421
0.699588,100,51.85905
0.943036,100,51.899609
1.818683,100,51.9403
0.558802,100,52.976965
0.96208,100,53.039002
0.329222,100,53.100859
0.83095,100,53.167554
1.987391,100,53.229945
1.730767,100,53.292488
0.974335,100,53.354728
-0.087883,100,53.417125
0.682738,100,53.479327
0.958238,100,53.541568
0.883261,100,53.603917
0.98398,100,53.666314
0.672444,100,53.728613
0.759254,100,53.796628
1.930239,100,53.859015
0.993816,100,53.921446
1.9844,100,53.984011
0.969527,100,54.046683
0.589443,100,54.109005
0.690718,100,54.171398
1.881214,100,54.233658
1.386881,100,55.011889
0.920762,100,55.052862
1.309238,100,55.108459
1.268381,100,55.15524
1.58857,100,55.220585
0.954128,100,55.263115
1.456126,100,55.303736
0.887412,100,55.344327
1.951221,100,55.384995
1.714292,100,55.425653
0.942824,100,55.466239
0.981378,100,55.506773
0.981456,100,55.560712
0.999651,100,55.601431
1.331908,100,55.642239
0.97262,100,55.682839
0.82042,100,55.723387
0.997684,100,55.764045
0.528623,100,55.804707
0.486521,100,55.845458
0.957066,100,56.708192
1.318649,100,56.771707
0.415028,100,56.841062
0.673445,100,56.904665
0.676868,100,56.968269
0.944116,100,57.030961
0.336212,100,57.094491
1.254001,100,57.15813
0.995795,100,57.22177
0.790846,100,57.285916
0.837845,100,57.350189
0.98154,100,57.414319
0.999943,100,57.484243
0.901534,100,57.548294
0.98235,100,57.612016
1.346816,100,57.675704
0.998559,100,57.739296
0.990299,100,57.80297
0.999914,100,57.865929
0.967861,100,57.929446
0.677571,100,57.993128
0.993892,100,59.037424
0.962342,100,59.106906
0.996032,100,59.170634
1.564226,100,59.234379
1.894638,100,59.298151
0.999134,100,59.361747
1.881275,100,59.425458
0.726445,100,59.489191
1.812978,100,59.552887
0.060489,100,59.616264
-0.052814,100,59.680239
0.928866,100,59.750213
1.126387,100,59.814458
0.418515,100,59.880034
1.697732,100,59.943634
0.564408,100,60.007225
0.785361,100,60.070817
0.993897,100,60.134518
0.80455,100,60.198096
1.356681,100,60.261733
1.611739,100,61.152083
0.669928,100,61.198107
0.975032,100,61.240136
0.875384,100,61.282365
0.996207,100,61.324823
0.611004,100,61.36659
1.823914,100,61.40852
0.650532,100,61.45034
0.478305,100,61.494112
1.391771,100,61.536074
0.99381,100,61.578308
1.573581,100,61.624963
0.999895,100,61.667073
0.862938,100,61.709387
0.777998,100,61.751185
1.790259,100,61.793239
0.921264,100,61.835122
0.684143,100,61.877158
1.22371,100,61.919468
0.939003,100,61.961478
1.313249,100,62.003989
0.649047,100,62.646461
0.801465,100,62.688436
0.951456,100,62.730327
0.938608,100,62.771962
0.493097,100,62.813684
1.265286,100,62.855489
0.999147,100,62.898267
0.955402,100,62.939939
0.835131,100,62.981682
0.816836,100,63.023292
0.800596,100,63.069353
1.65314,100,63.111682
1.834446,100,63.1544
0.935839,100,63.196144
0.998256,100,63.23844
0.994772,100,63.280579
1.951306,100,63.322705
0.992016,100,63.364479
0.908541,100,63.406244
1.388492,100,63.448081
1.378501,100,64.087061
0.92177,100,64.129256
0.999516,100,64.171673
1.481949,100,64.213735
0.652422,100,64.256183
0.888768,100,64.312139
0.664449,100,64.375869
1.347323,100,64.437238
0.75096,100,64.478596
0.753894,100,64.521203
0.739104,100,64.566705
0.99435,100,64.608187
0.996551,100,64.650357
1.977967,100,64.69181
1.731649,100,64.733545
0.954564,100,64.777017
1.764699,100,64.81868
0.990193,100,64.861418
0.990569,100,64.90268
1.901759,100,64.94422
