#{"t_start": 1679348888.3378963, "env_id": null}
r,l,t
-115.949498,1500,1.210958
-115.952968,1500,2.643292
-26.805591,345,2.963414
-10.294567,129,3.05629
-15.663315,185,3.188754
-116.244692,1500,4.400955
-111.53901,1500,8.958387
-107.324602,1500,10.286483
-101.764055,1500,11.628984
-105.255356,1500,12.862994
-1.005632,16,12.874799
-99.453957,1500,17.526288
-31.298985,462,17.945229
-1.196439,8,17.950986
-69.430369,1091,18.79858
-57.641688,946,19.535438
-95.925549,1500,20.748725
-1.517453,15,20.759801
-24.147192,385,21.109735
-43.434505,698,21.644666
-5.496452,56,21.685529
-39.125757,621,25.686646
-3.007818,51,25.723481
-2.840443,68,25.772329
-18.134461,371,26.110565
-15.092669,268,26.406002
-2.353392,24,26.423214
-66.20902,1273,27.452229
-30.023096,516,27.832331
-21.01083,390,28.106597
-9.755614,173,28.224413
-76.782451,1500,29.430343
-7.892436,153,29.537164
-7.679581,144,29.663811
-1.320371,32,29.703864
-18.455452,344,29.95779
-0.760565,20,29.972382
-28.168692,562,30.482148
-13.84041,261,34.07553
-7.619553,202,34.224224
-4.22639,112,34.303181
-9.902137,265,34.607577
-17.466484,359,34.908582
-5.505644,119,34.992147
-8.514858,220,35.1451
-5.9299,162,35.3083
-9.15834,127,35.400918
-4.929617,85,35.462259
-7.968121,183,35.591826
-3.545695,75,35.64487
-3.907322,57,35.684986
-43.392802,1172,36.616908
-2.138538,57,36.658209
-3.671214,63,36.704466
-1.512307,16,36.716257
-1.784876,25,36.743212
-23.828109,520,37.301236
-21.1122,458,37.718302
-6.140417,115,37.810293
-4.131152,87,37.961249
-18.904366,386,38.245039
-3.902137,103,38.319832
-14.758954,383,38.603649
-6.502235,146,38.783953
-15.599297,353,39.212072
-1.852196,63,39.260249
-4.33041,98,39.332721
-2.10405,24,39.350809
-5.093325,124,42.84346
-0.404012,11,42.8517
-2.768395,43,42.884034
-3.687508,104,42.960108
-1.770713,50,42.996614
-1.603464,20,43.011649
-3.539463,56,43.104519
-9.096196,261,43.29457
-1.070516,18,43.30827
-1.927701,49,43.345733
-2.205342,43,43.379861
-4.751356,187,43.516751
-3.053714,106,43.598394
-1.121349,11,43.606679
-5.775326,199,43.761793
-7.934488,253,44.027739
-4.662272,234,44.202257
-11.84739,350,44.457969
0.418812,34,44.482982
-3.767263,98,44.554124
-2.299995,19,44.568345
-4.475223,72,44.620701
-2.436207,46,44.70202
-1.872751,28,44.722469
-4.636374,85,44.784564
-1.590389,27,44.804384
-2.770143,91,44.870342
-2.459626,62,44.915731
-1.299906,8,44.921825
0.045974,17,44.934395
-2.312513,33,44.95854
-3.707322,112,45.039787
-1.745925,50,45.076107
-6.693615,140,45.17932
-1.119684,19,45.193216
-1.982538,27,45.213769
-2.852782,65,45.26096
-9.879518,286,45.529446
-3.340478,74,45.586448
-1.599977,19,45.613122
-2.373563,31,45.644963
-2.952856,99,45.719322
-0.944861,13,45.729027
-0.953406,16,45.740994
-2.012804,29,45.762667
-1.623565,61,45.808088
-2.346091,119,45.896853
-1.534871,25,45.915742
-2.085924,73,45.96939
-0.683118,61,46.013501
-3.999983,128,46.106647
-2.574918,73,46.159564
-2.766408,178,46.37516
-4.470104,118,46.537461
-1.160033,33,46.562587
-2.838805,54,46.605246
-9.367939,201,46.758011
-1.125908,62,46.804306
-7.005644,142,46.91167
-16.649056,469,47.408004
-1.021707,41,47.455808
-3.963131,86,47.549268
-1.472181,29,47.571276
-4.017728,83,47.63156
-0.542016,66,47.677134
-3.742144,121,47.764683
-10.370747,276,48.023851
-1.238241,28,51.407061
-2.245051,63,51.452978
-0.538695,31,51.475319
-2.362162,54,51.584032
-4.4489,99,51.656562
-3.462038,83,51.7173
-1.2,14,51.727217
-1.354918,27,51.746751
-2.311747,36,51.773354
-0.243778,61,51.817015
-2.667395,60,51.860638
-1.885318,46,51.894539
-3.359212,83,51.955096
-5.478398,126,52.047094
