#{"t_start": 1679419415.7958078, "env_id": null}
r,l,t
-5.0,100,0.185215
-5.3,100,0.226718
-5.499771,100,0.26816
-4.6,100,0.309375
-4.999997,100,0.350674
-4.8,100,0.39189
-3.804616,100,0.433278
-4.662848,100,0.474793
-4.299999,100,0.51606
-5.399756,100,0.557508
-4.817478,100,0.746163
-5.69996,100,0.787944
-5.0,100,0.829751
-5.6,100,0.871608
-4.9,100,0.913413
-4.5,100,0.955358
-5.5,100,0.997256
-4.4,100,1.038819
-4.986691,100,1.080591
-4.3,100,1.122809
-4.5,100,1.48465
-3.8,100,1.526041
-3.159488,100,1.567747
-4.965589,100,1.610047
-4.5,100,1.652042
-4.8,100,1.694979
-4.7,100,1.73671
-4.199999,100,1.778418
-3.79703,100,1.81988
-4.2,100,1.861502
-4.4,100,1.989152
-4.299994,100,2.030753
-3.5,100,2.071803
-4.2,100,2.113452
-5.3,100,2.155531
-3.5,100,2.197105
-3.381392,100,2.238504
-4.6,100,2.280091
-4.4,100,2.321916
-5.1,100,2.363876
-4.742001,100,2.643732
-3.6,100,2.684993
-3.586161,100,2.726639
-3.2,100,2.767917
-3.099763,100,2.809144
-3.890943,100,2.850487
-4.289785,100,2.891955
-4.170237,100,2.933604
-3.480486,100,2.974988
-2.902538,100,3.01633
-3.8,100,3.10237
-3.2,100,3.143713
-2.630084,100,3.18514
-2.239819,100,3.226304
-3.543619,100,3.267817
-3.1,100,3.309331
-2.653304,100,3.350624
-4.730987,100,3.392328
-3.6,100,3.433412
-3.470565,100,3.474882
-2.316832,100,3.559675
-2.001277,100,3.77265
-4.199999,100,3.814433
-2.890343,100,3.855847
-3.399998,100,3.897289
-3.4,100,3.938787
-2.5,100,3.97985
-2.8,100,4.021038
-3.293621,100,4.062428
-3.3,100,4.103826
-2.750358,100,4.189791
-2.744144,100,4.231107
-3.5,100,4.272407
-2.493107,100,4.313423
-3.3,100,4.354578
-2.5,100,4.395494
-2.899996,100,4.436435
-2.7,100,4.478294
-2.298087,100,4.519238
-3.3,100,4.560612
-3.1,100,4.649724
-3.4,100,4.872591
-2.247197,100,4.913678
-2.2,100,4.954628
-3.0,100,4.995857
-3.1,100,5.036913
-3.3,100,5.078483
-2.5,100,5.119596
-2.7,100,5.160681
-2.7,100,5.201614
-1.570242,100,5.292052
-0.827057,100,5.332853
-1.284579,100,5.373748
-2.8,100,5.414779
-2.7,100,5.455765
-2.2,100,5.496655
-2.4,100,5.537933
-2.485851,100,5.579192
-1.9,100,5.619995
-2.19977,100,5.660802
-1.872429,100,5.753943
-1.7,100,5.794813
-2.5,100,6.029291
-2.061059,100,6.07069
-2.1,100,6.112927
-2.3,100,6.153885
-1.5,100,6.195009
-2.799994,100,6.236974
