#{"t_start": 1679349299.276735, "env_id": null}
r,l,t
-15.945563,222,0.458335
-115.525379,1500,2.070235
-118.45515,1500,3.655726
-116.791104,1500,5.167509
-115.750465,1500,8.687204
-108.868471,1500,10.286963
-53.641602,731,11.065711
-14.395263,214,11.266486
-18.842135,252,11.529717
-90.614097,1240,12.876426
-36.223563,470,13.404596
-109.475056,1500,15.040387
-104.000325,1500,18.403724
-6.818968,97,18.488621
-2.031952,24,18.509708
-5.80254,105,18.611095
-18.209348,242,18.889872
0.222114,26,18.923584
-69.427237,1083,20.008633
-30.397453,442,20.501989
-103.032067,1500,22.170796
-19.971289,293,22.475408
-31.358059,474,22.990931
-8.216602,98,23.149566
-0.732364,12,23.166616
-9.066764,125,23.308367
-13.042676,212,23.587669
-10.952036,146,25.629014
-16.566724,268,26.000755
-8.84375,126,26.148139
-4.321104,46,26.19883
-8.439684,101,26.321719
-5.705792,83,26.395492
-10.423522,169,26.552526
-3.012936,76,26.620967
-14.076846,215,26.812395
-0.837059,25,26.834489
-93.329436,1500,28.489258
-0.546406,22,28.509122
-1.633423,27,28.53378
-27.789854,448,29.039577
-28.987621,441,29.462293
-21.655513,337,29.809049
-24.928725,407,30.297742
-23.263708,365,30.634773
-17.336169,275,30.889494
-23.9234,371,31.236231
-1.645197,23,31.256633
-7.9926,128,31.367172
-2.74883,51,31.416691
-8.968737,133,31.568526
-47.963689,843,34.369976
-2.119297,32,34.408896
-6.60214,97,34.496045
-4.568966,65,34.568443
-4.050313,64,34.654983
-6.185154,93,34.769686
-4.08212,66,34.828482
-4.678637,67,34.894074
-20.379757,307,35.225072
-1.079354,13,35.23695
-0.924063,15,35.25044
-9.029897,138,35.391639
-0.364096,16,35.406125
-1.991197,18,35.422063
-1.539096,22,35.447806
-14.651352,253,35.680922
-0.09367,31,35.708804
-4.104516,65,35.784067
-0.983519,28,35.808624
-3.313746,67,35.86857
-5.420751,94,35.957654
-5.451922,76,36.054106
-7.954266,102,36.17477
-1.346604,11,36.18951
-3.7,40,36.230071
-1.760227,15,36.243116
-3.44315,63,36.297269
-12.536168,191,36.478939
-3.063826,49,36.531055
