#{"t_start": 1678090362.5932148, "env_id": null}
r,l,t
-5.1,100,0.070015
-4.4,100,0.118976
-5.4,100,0.17584
-5.3,100,0.225421
-4.8,100,0.275998
-4.2,100,0.324221
-4.775474,100,0.372909
-4.6,100,0.420876
-5.398699,100,0.467187
-3.088575,100,0.51325
-4.6,100,0.579443
-4.20852,100,0.632369
-4.899363,100,0.682143
-4.899948,100,0.72892
-4.9,100,0.776893
-4.9,100,0.824399
-4.456386,100,0.87028
-4.599784,100,0.916241
-4.687756,100,0.965015
-5.9,100,1.015545
-4.7,100,1.723135
-4.597867,100,1.781183
-3.7,100,1.833857
-3.590738,100,1.888249
-4.0,100,1.942955
-4.038826,100,1.993102
-4.4,100,2.039566
-5.0,100,2.091957
-3.2,100,2.140284
-4.295296,100,2.1908
-2.690414,100,2.248767
-4.1,100,2.306935
-4.2,100,2.366495
-4.3,100,2.430942
-3.304488,100,2.4876
-4.262768,100,2.536055
-4.6,100,2.583484
-3.498347,100,2.631928
-4.2,100,2.683758
-4.1,100,2.735748
-4.3,100,3.566378
-3.389914,100,3.62383
-2.685067,100,3.678292
-2.561539,100,3.737929
-2.999978,100,3.78546
-1.513069,100,3.832669
-3.5,100,3.884453
-3.501634,100,3.944056
-3.9,100,4.00204
-3.2,100,4.057095
-2.7,100,4.123943
-3.793344,100,4.190804
-2.761848,100,4.249476
-1.70048,100,4.30752
-3.6,100,4.355996
-3.3,100,4.403731
-2.7,100,4.451623
-3.6,100,4.517236
-3.899998,100,4.5999
-2.091842,100,4.647711
-3.6,100,4.712809
-2.9,100,5.520095
-3.199815,100,5.566981
-2.6,100,5.614547
-2.789856,100,5.660367
-2.599057,100,5.707325
-2.700324,100,5.75935
-2.689412,100,5.811893
-1.500582,100,5.865595
-2.7,100,5.914871
-2.220357,100,5.973713
-1.549141,100,6.022353
-3.268303,100,6.069932
-2.699998,100,6.118569
-2.699818,100,6.164901
-2.0,100,6.211197
-2.3,100,6.26076
-3.1,100,6.30845
-2.4,100,6.353958
-0.903715,100,6.399314
-2.239145,100,6.457401
-2.8,100,7.161648
-3.1,100,7.216675
-1.899999,100,7.273481
-1.217975,100,7.327869
-1.8,100,7.38157
-2.3,100,7.432
-2.6,100,7.479893
-1.536785,100,7.526785
-2.599063,100,7.574868
-0.737418,100,7.634452
-2.0,100,7.681787
-2.1,100,7.727839
-2.2,100,7.773051
-2.6,100,7.819231
-1.799999,100,7.869446
-10,17,7.877514
-2.0,100,7.925093
-2.496454,100,7.973612
-2.25918,100,8.022436
-1.721028,100,8.080796
-2.2,100,8.12863
-1.8,100,8.177885
-0.791891,100,8.947028
-1.362916,100,8.995391
-1.26607,100,9.044381
-0.80964,100,9.093469
-1.6,100,9.138828
-2.1,100,9.186091
-1.6,100,9.232677
-1.799965,100,9.293933
-1.9,100,9.343336
-1.6,100,9.388776
-1.1,100,9.439627
-2.099999,100,9.488659
-0.498213,100,9.5345
-2.2,100,9.579531
-1.6,100,9.627987
-1.23365,100,9.675051
-1.786161,100,9.721009
-1.8,100,9.784595
-1.4,100,9.835632
-1.7,100,9.884939
-0.114631,100,10.612434
-1.499983,100,10.660018
-1.7,100,10.706107
-1.160264,100,10.75158
-0.799972,100,10.798611
-1.6,100,10.847504
-0.900504,100,10.89415
-1.596289,100,10.953417
-1.041292,100,11.005152
-1.595224,100,11.05853
-1.599987,100,11.107863
-0.71129,100,11.160702
-1.2,100,11.210019
-1.599999,100,11.263505
-1.9,100,11.314428
-1.09943,100,11.367418
-1.208486,100,11.422876
-1.095203,100,11.486324
-1.199999,100,11.537471
-10,9,11.54219
-1.4,100,11.592412
-1.682902,100,11.640134
-1.669183,100,12.32452
-1.990929,100,12.376918
-1.357298,100,12.423676
-0.899968,100,12.469653
-0.9,100,12.51504
-1.6,100,12.562564
-0.9,100,12.624051
-1.099849,100,12.673197
-0.999759,100,12.721111
-1.1,100,12.769348
-1.3,100,12.816314
-1.33651,100,12.863678
-1.351593,100,12.911255
-1.6,100,12.956298
-0.658738,100,13.001253
-0.904956,100,13.048884
-1.1,100,13.109701
-0.4,100,13.161351
-0.178084,100,13.211728
-1.4,100,13.268182
-1.1,100,13.971459
-0.7,100,14.021861
-0.8,100,14.069749
-1.3,100,14.118299
-1.188397,100,14.166754
-1.1,100,14.216495
-0.8,100,14.277607
-0.610505,100,14.325197
-0.8,100,14.373941
-1.1,100,14.423332
-1.1,100,14.471287
-1.099613,100,14.525401
-0.5,100,14.572693
-0.897631,100,14.619309
-0.690402,100,14.667048
-0.8,100,14.712536
-0.6,100,14.774187
0.064533,100,14.820106
0.345897,100,14.867356
-0.076827,100,14.916225
-0.999993,100,14.963111
-1.2,100,15.671355
-1.0,100,15.718634
-0.4,100,15.765662
-0.9,100,15.812391
-0.31279,100,15.859376
-0.7,100,15.92501
-0.499989,100,15.971842
-0.699964,100,16.020031
-0.831455,100,16.067397
-0.5,100,16.11412
-0.7,100,16.162437
-0.6,100,16.21011
-0.944697,100,16.258605
-0.7,100,16.306269
-0.899998,100,16.35377
