#{"t_start": 1678309565.115297, "env_id": null}
r,l,t
-101.2,1500,0.768639
-91.458407,1500,2.105705
-80.917957,1500,3.455688
-72.542104,1500,4.205022
-62.017536,1500,5.567719
-52.252268,1500,6.956232
-43.12106,1500,8.307149
-35.14012,1500,9.041633
-30.529067,1500,10.375195
-18.128826,979,11.54633
-1.201085,32,11.565944
-5.553248,452,11.790016
-1.245788,99,11.850427
-3.584161,192,11.947493
-6.849152,850,12.417466
-1.918699,188,12.524214
-2.254636,134,13.236197
-1.776311,173,13.315484
-1.094137,18,13.324197
-1.502299,276,13.451199
-1.2,16,13.458567
-1,19,13.467276
-1.185072,251,13.590637
-4.275233,513,13.835913
-0.885894,13,13.842528
-1.6451,165,13.91844
-3.05415,283,14.057003
-2.311885,153,14.130555
-3.228934,293,14.915894
-1.074036,25,14.92759
-2.240239,108,14.981223
-2.098388,259,15.099757
-1.690198,132,15.168432
-1.1,24,15.182664
-0.957219,17,15.191277
-2.420061,170,15.273829
-0.908554,47,15.29596
-1.389946,129,15.357753
-3.879179,313,15.503261
-1.299996,52,15.527623
-0.280789,39,15.545773
-1.2,25,15.55719
-0.677546,50,15.580115
-1.1,27,15.601353
-1.428272,160,15.676783
-1.3,18,15.685407
-1.278883,189,15.773813
-2.409572,156,16.542867
-0.45609,22,16.553014
-1.708948,217,16.660378
0.867545,477,16.90404
-1.093597,43,16.923807
-0.865163,53,16.948613
-1.213777,71,16.981055
-2.687981,229,17.103283
-0.30522,30,17.117192
-0.624155,92,17.161481
-1.683691,101,17.209023
-1.103603,22,17.224237
-1.2,25,17.235635
-1.598547,71,17.268262
-1.195711,40,17.295465
-1.3,47,17.317088
-0.791588,22,17.327058
-1.099998,16,17.334588
-0.475523,90,17.379293
-0.702185,254,17.498619
-1.299958,43,17.521508
-1.2,22,17.532667
-1.409445,104,18.34844
-1.124289,75,18.385653
-1.199977,43,18.406777
-1.099995,37,18.424478
-0.422972,19,18.433736
-1.199988,45,18.455891
-1.612826,112,18.510707
-1.774775,109,18.573947
-1.199985,25,18.589191
-0.850927,81,18.640088
-1,25,18.651661
-1.099862,40,18.674453
-0.928369,24,18.685555
-0.779723,37,18.702224
-1.1,49,18.724274
-0.448891,177,18.804694
-0.779802,15,18.811692
-0.417103,66,18.841498
-1.163968,40,18.85967
0.642642,93,18.902049
-0.318713,101,18.947874
-0.650428,62,18.976084
0.646671,85,19.015058
0.525441,137,19.114343
-1.3,60,19.144367
0.812268,105,19.192473
-0.526735,24,19.203456
-1.307414,138,19.265805
-1.215329,33,19.280812
-1.199971,10,19.285513
-1,17,19.293221
-0.321061,183,19.990908
-0.773597,18,19.999131
-1.073604,40,20.017267
-1.287874,66,20.046947
-0.414966,223,20.175764
-1.639161,209,20.274806
-1.170689,73,20.307784
-1.1,21,20.317365
-1.450026,104,20.36444
-1,13,20.370331
-0.924616,92,20.412194
-1.042826,36,20.428772
0.62123,231,20.533966
-1.125021,150,20.603727
-1.072841,32,20.629866
0.732768,90,20.675158
-1.525735,100,20.723504
-1.1,27,20.735825
-0.857381,256,20.851251
-0.316763,239,21.621675
-0.190297,117,21.675038
-1,11,21.680082
-1,38,21.697915
-1.383637,61,21.735647
-1.385005,128,21.831789
-0.831053,32,21.847301
-1.232505,132,21.914829
-0.176772,58,21.943353
-1.066347,34,21.959131
-0.360574,232,22.065094
-0.893969,70,22.097126
0.351965,126,22.196757
-1.052792,32,22.211766
0.009131,111,22.268147
-1.1,35,22.287707
-1.483126,177,22.392026
-1.099484,48,22.413843
-0.359532,172,22.493792
0.726643,243,22.603755
-0.412388,51,22.627688
-0.766104,156,23.331737
-1.219134,69,23.366291
-0.972885,77,23.40401
-1.099159,58,23.432557
0.217209,182,23.529447
-0.747938,129,23.587603
-1.099941,46,23.608348
1.850835,520,23.874055
1.896635,168,23.961944
-0.115493,223,24.06234
-1,13,24.068205
-1.099332,36,24.084409
2.025081,602,24.953247
-1,25,24.964581
-0.91086,111,25.024196
-0.43707,248,25.136141
-0.381536,69,25.16735
-0.498535,141,25.230851
-0.219599,136,25.301303
-1.252401,68,25.356773
1.336861,569,25.670827
0.005824,151,25.748016
9.342468,1500,27.098392
1.547798,768,27.498911
5.006909,810,28.497794
16.245886,1500,29.825815
-1.334136,114,29.898978
17.609645,1500,30.715568
0.404032,86,30.753977
-0.293496,157,30.828124
0.396698,65,31.495207
21.602376,1500,32.235716
15.8879,1500,33.55987
3.041134,698,33.90866
19.87139,1500,35.241946
22.872065,1500,36.58173
29.110363,1500,37.960433
27.017551,1500,38.674226
28.336311,1500,40.001339
27.766891,1500,41.324675
28.589882,1500,42.068797
29.407585,1500,43.370444
38.010433,1500,44.695726
37.013977,1500,46.069268
36.780495,1500,46.827665
33.48937,1500,48.148334
35.460934,1500,49.476269
37.103906,1500,50.825799
40.2897,1500,51.569527
43.550061,1500,52.916714
41.780832,1500,54.281528
43.743793,1500,54.998695
41.228095,1500,56.325609
47.930384,1500,57.65211
45.702267,1500,58.974751
43.398022,1500,59.703541
47.785305,1500,61.04487
42.332235,1500,62.372271
46.846123,1500,63.70634
48.361221,1500,64.425633
41.961123,1500,65.786223
43.71378,1500,67.119317
44.356639,1500,68.496752
46.681402,1500,69.216143
48.188168,1500,70.540514
46.313742,1500,71.889019
46.466803,1500,72.604725
51.374187,1500,74.011789
47.410712,1500,75.327137
47.488529,1500,76.691923
53.513535,1500,77.415503
52.205885,1500,78.78914
53.255705,1500,80.135993
43.015645,1500,81.473057
46.894004,1500,82.226477
53.010411,1500,83.552252
53.344532,1500,84.884492
56.552867,1500,86.213505
55.704295,1500,86.941643
51.206111,1500,88.26008
55.668895,1500,89.584821
52.841335,1500,90.305319
54.247654,1500,91.679619
58.669168,1500,92.989468
56.676661,1500,94.358634
53.213231,1500,95.074972
48.887457,1500,96.431327
53.001413,1500,97.742499
49.561223,1500,99.039565
46.645695,1500,99.748185
50.122611,1500,101.09879
51.780276,1500,102.43982
53.455018,1500,103.765653
55.926011,1500,104.469988
54.817062,1500,105.781768
58.851982,1500,107.101202
58.601302,1500,107.839502
58.2957,1500,109.166475
56.595708,1500,110.527947
59.528778,1500,111.877444
54.617105,1500,112.610069
54.286144,1500,113.958776
56.220756,1500,115.325956
55.788239,1500,116.674309
59.784585,1500,117.389459
54.730652,1500,118.730552
52.482046,1500,120.045407
52.308653,1500,121.384224
50.64194,1500,122.125489
49.281173,1500,123.467052
47.756143,1500,124.781783
55.011487,1500,125.520507
55.376035,1500,126.85648
57.410301,1500,128.231656
56.764581,1500,129.584266
57.001821,1500,130.303816
57.80173,1500,131.631845
56.022521,1500,132.941969
58.645003,1500,134.281515
56.731529,1500,135.001047
58.926857,1500,136.341192
55.490605,1500,137.666937
54.870007,1500,138.395015
60.70762,1500,139.705886
57.93199,1500,141.061184
60.818142,1500,142.390155
56.171511,1500,143.119434
53.963038,1500,144.449742
52.053147,1500,145.803919
54.784028,1500,147.148257
49.243964,1500,147.857046
52.172183,1500,149.206992
52.38659,1500,150.528105
56.476533,1500,151.885741
56.509713,1500,152.616899
57.973659,1500,153.941923
61.571744,1500,155.280038
59.133606,1500,156.002927
60.033623,1500,157.324144
60.475575,1500,158.647976
60.977215,1500,160.001478
61.610339,1500,160.700194
59.196787,1500,162.190676
61.065383,1500,163.520457
61.588611,1500,164.849988
58.396927,1500,165.578053
59.995388,1500,166.911254
57.455275,1500,168.272636
61.411586,1500,169.641812
60.903302,1500,170.347787
59.939597,1500,171.753896
60.462526,1500,173.086696
59.294297,1500,173.844914
60.914772,1500,175.20015
60.313603,1500,176.540585
58.702395,1500,177.86108
59.634797,1500,178.589468
58.447945,1500,179.917724
61.123533,1500,181.265923
61.744006,1500,182.610789
59.319662,1500,183.319969
59.8195,1500,184.65251
60.934628,1500,185.993054
60.90518,1500,187.316054
58.9346,1500,188.031732
61.584097,1500,189.357789
59.623408,1500,190.67148
58.711817,1500,191.397631
61.482346,1500,192.722649
60.492027,1500,194.066322
58.723534,1500,195.412063
57.868432,1500,196.141381
55.736202,1500,197.48013
58.990924,1500,198.814742
59.915941,1500,200.213055
60.170481,1500,200.947857
59.97512,1500,202.31637
58.277434,1500,203.641955
55.89544,1500,204.991241
58.797741,1500,205.69658
58.677259,1500,207.597104
58.667256,1500,209.089114
58.038698,1500,209.804581
52.994374,1500,211.166768
52.664227,1500,212.546944
51.049733,1500,213.896552
57.265123,1500,214.591078
53.866514,1500,215.921949
56.777249,1500,217.284887
56.34746,1500,218.598782
58.3169,1500,219.366168
57.812854,1500,220.731918
59.297491,1500,222.14429
57.692374,1500,222.856622
59.86306,1500,224.192936
58.943803,1500,225.522098
61.854148,1500,226.8546
58.075586,1500,227.576628
56.55749,1500,228.898387
57.636539,1500,230.240291
56.936601,1500,231.579012
57.91839,1500,232.320071
57.49319,1500,233.657023
57.730459,1500,235.003862
58.149594,1500,236.349304
59.031084,1500,237.058544
59.531349,1500,238.714184
58.381246,1500,239.38962
58.880241,1500,240.027149
60.429914,1500,240.650493
62.532307,1500,241.27347
60.600015,1500,241.898146
60.938054,1500,242.531375
60.887749,1500,243.160659
58.149989,1500,243.778106
62.88222,1500,244.402993
