#{"t_start": 1679327302.1603858, "env_id": null}
r,l,t
-111.147972,1500,0.343999
-118.812187,1500,0.672781
-119.317216,1500,1.001462
-113.558636,1500,1.326339
-118.630745,1500,1.653269
-120.867437,1500,1.994962
-118.143108,1500,2.323563
-116.475294,1500,2.739137
-121.092694,1500,3.073898
-118.427436,1500,3.400692
-66.803607,867,3.584891
-101.548483,1275,3.859184
-117.950922,1500,4.176491
-13.460808,178,4.213209
-116.631107,1500,4.546496
-106.255652,1377,4.840392
-115.798669,1500,5.170059
-109.44232,1500,5.492361
-3.21175,31,5.498927
-70.267326,907,5.700516
-115.070185,1500,6.033324
-119.098759,1500,6.356381
-120.153118,1500,6.682023
-114.656655,1500,7.000163
-63.196791,841,7.180651
-110.687029,1500,7.50465
-117.402425,1500,7.8234
-0.518558,16,7.826796
-114.887737,1500,8.145997
-116.309004,1500,8.475926
-119.963919,1500,8.792334
-55.411922,718,8.954562
-115.634774,1500,9.277149
-31.578751,388,9.359472
-117.036529,1500,9.689974
-120.632175,1500,10.014875
-118.069912,1500,10.338513
-114.821214,1500,10.662023
-3.903956,32,11.098995
-3.6,27,11.11941
-3.536115,27,11.134501
-4.574088,37,11.147738
-2.892659,20,11.15503
-6.190527,58,11.175734
-3.321705,25,11.184662
-3.1,22,11.193498
-2.223312,23,11.201802
-3.91309,34,11.213936
