#{"t_start": 1679301896.2121933, "env_id": null}
r,l,t
-21.130859,300,0.176596
-22.119051,300,0.321388
-21.799986,300,0.462519
-9.883633,3,0.464052
-22.701118,300,0.624318
-21.230016,300,0.766023
-20.488207,300,0.913854
-22.308828,300,1.070429
-19.983117,300,1.21278
-21.557257,300,1.355035
-22.881831,300,1.501888
-23.599959,300,1.646476
-21.195615,300,1.788964
-21.767054,300,1.933168
-21.781318,300,2.081483
-22.87805,300,2.224615
-21.312414,300,2.367786
-21.6,300,2.514368
-18.799397,300,2.657289
-22.320389,300,2.800914
-22.103281,300,2.947488
-20.328929,300,4.848458
-20.559821,300,4.990611
-20.195442,300,5.133283
-18.073853,300,5.287656
-18.829082,300,5.429514
-9.526686,11,5.4347
-20.557628,300,5.57693
-19.050347,300,5.724558
-18.234512,300,5.869105
-19.996052,300,6.010543
-19.231153,300,6.155136
-19.473843,300,6.305324
-19.582819,300,6.446763
-19.798241,300,6.588024
-18.887456,300,6.74002
-19.799983,300,6.88475
-19.290163,300,7.028465
-17.682945,300,7.178442
-19.705777,300,7.321715
-19.600769,300,7.466732
-18.530208,300,7.614561
-18.143075,300,9.51165
-16.667288,300,9.652385
-16.808026,300,9.793586
-15.945848,300,9.940016
-10.718173,11,9.945339
-17.399904,300,10.085913
-16.424277,300,10.226944
-15.709777,300,10.371888
-16.1,300,10.513496
-16.278876,300,10.654142
-15.103269,300,10.798058
-16.857457,300,10.941669
-14.922955,300,11.082476
-16.699982,300,11.223381
-14.649606,300,11.369291
-17.156833,300,11.511014
-19.084396,300,11.65659
-16.335501,300,11.802642
-17.532731,300,11.946187
-16.576306,300,12.087527
-16.676365,300,12.232852
-17.794304,300,12.378787
-15.382454,300,14.269369
-13.813622,300,14.409701
-12.457356,300,14.560359
-13.917602,300,14.704393
-15.999999,300,14.845631
-14.495024,300,14.995484
-14.813626,300,15.137988
-14.39063,300,15.279178
-13.414833,300,15.428241
-14.367631,300,15.571508
-14.592699,300,15.712435
-16.247254,300,15.857284
-10.034292,8,15.861205
-14.220318,300,16.01596
-14.418401,300,16.15797
-13.980794,300,16.29915
-14.497271,300,16.451979
-13.840704,300,16.597068
-12.996583,300,16.737002
-13.574861,300,16.887141
-15.699853,300,17.030297
-10,32,19.066642
-10,32,19.083808
-10,34,19.103359
-11.3,26,19.127934
-10,111,19.190468
-10,13,19.195879
-10,39,19.212074
-10,42,19.260734
-10,63,19.304426
-10,26,19.315061
