#{"t_start": 1679384552.5830412, "env_id": null}
r,l,t
-2.532044,22,0.134045
-5.049672,62,0.201882
-2.785784,48,0.260292
-6.198376,103,0.39887
-11.829598,169,0.669383
-26.462916,365,1.138828
-32.035281,481,1.658339
-2.15735,41,1.696709
-29.836006,393,2.113079
-44.095922,522,2.701838
-14.357247,193,2.901464
-15.446599,184,3.075598
-87.059179,1235,4.384934
-86.052372,1045,5.52183
-1.231932,7,5.528558
-14.712691,221,5.751575
-34.839972,464,6.258113
-22.154451,258,6.541125
-3.537118,76,6.613602
-0.661963,25,6.649188
-29.754082,396,7.295992
-7.269907,85,7.400515
-4.602695,60,7.456836
0.348056,19,7.474441
0.240274,13,7.486652
-33.27073,418,7.906812
-2.196972,25,7.933022
-1.133139,29,7.975418
-8.850936,113,8.100235
-1.803709,14,8.113749
-1.150078,31,8.142078
-19.028215,292,8.528144
-18.943364,261,8.821136
-10.968892,146,8.97241
-6.97617,131,9.129103
-18.965528,239,9.453801
-7.172598,90,9.583002
-0.343351,10,9.593267
-9.083162,164,9.781148
-0.783338,28,9.832135
-5.721052,101,9.965467
-64.328733,861,10.829179
-12.354601,155,11.013371
-43.684028,572,11.758286
-8.70694,109,11.870811
-34.675717,460,12.337
-1.17985,13,12.350153
-33.646064,497,12.861915
-5.592435,93,12.986935
-12.882356,167,13.147229
-10.557442,164,13.317394
-10.882235,153,13.532801
-9.679327,135,13.713953
-29.127534,410,14.226349
-2.07745,21,14.253031
-18.274487,231,14.488897
-21.382372,298,14.800893
-30.14624,383,15.207559
-21.933084,291,15.502376
-1.834366,11,15.512684
-9.769183,135,15.655608
-3.074259,31,15.68451
-8.094097,119,15.828048
0.366404,43,15.868724
-16.157453,232,16.143502
-1.484763,13,16.155772
-2.294075,28,16.198093
-1.601834,25,16.222058
-2.561931,31,16.251302
-8.626142,128,16.390843
-0.329609,29,16.423585
-1.330938,15,16.438024
-1.815467,34,16.469857
-3.374267,31,16.499681
-9.746184,111,16.629619
-7.463577,97,16.721276
-3.173831,35,16.753602
-1.81905,15,16.770813
-13.6896,183,16.975635
-21.026179,267,17.253775
-36.201105,465,17.889338
-26.083399,323,18.251094
-13.234242,163,18.413085
-2.247193,22,18.436439
-0.621311,11,18.451957
-18.566294,233,18.701313
-11.406248,151,18.85926
-2.824394,51,18.918291
-32.175107,398,19.390852
-10.538993,134,19.526683
-4.703672,70,19.612066
-27.838225,406,20.043991
-0.93448,21,20.074549
-13.14167,154,20.224964
-13.410344,222,20.490435
-0.563619,21,20.510304
-1.994154,11,20.521384
-2.021513,42,20.561988
-6.894104,72,20.630179
-25.010345,305,21.077883
-5.521535,69,21.143877
-1.402956,21,21.163544
-1.524654,19,21.181432
-4.947231,58,21.259498
-10.310595,121,21.376034
-13.065769,157,21.531079
-0.190233,13,21.54499
-3.268422,33,21.588899
-1.976586,40,21.643396
-1.294238,11,21.661522
0.247882,27,21.693327
-3.719295,53,21.742682
0.405492,30,21.771081
-0.925704,22,21.799117
-1.487882,29,21.827175
-4.684387,70,21.90025
-14.773885,210,22.204852
-2.473856,18,22.221894
-21.400927,288,22.574091
-1.554465,16,22.590158
-8.836012,112,22.705462
-2.502092,26,22.730031
0.447459,12,22.741204
-0.369568,19,22.759111
-2.827902,27,22.785484
-13.321381,165,22.991085
-0.958963,19,23.009635
-1.799611,10,23.019527
-20.703435,288,23.315135
-7.612175,122,23.44293
-7.299119,93,23.529196
-5.722418,90,23.622881
-2.24629,42,23.6624
0.654067,12,23.674001
-1.626765,15,23.688104
-0.292001,27,23.714464
-1.964975,12,23.725564
-0.103312,17,23.741526
-5.093019,61,23.818923
-0.119318,16,23.840906
-14.141253,158,24.048716
-0.873368,27,24.073698
-2.27785,17,24.089687
-1.162356,9,24.103032
-7.800952,129,24.306897
-3.430424,71,24.397904
-0.0903,18,24.415088
-2.340765,40,24.453534
-1.415482,32,24.483576
-11.840298,188,24.661501
-0.309101,20,24.680068
-19.325036,274,24.95351
0.753633,17,24.97301
-2.098393,68,25.07921
-3.470878,39,25.119973
-24.876099,309,25.465352
-1.368433,10,25.479887
-27.413652,385,25.908732
-14.11905,207,26.121605
-1.193912,19,26.16792
-1.129375,34,26.207688
-11.750995,123,26.363445
-5.956532,118,26.532798
0.058697,17,26.551573
-1.312345,21,26.578133
-1.62716,18,26.595909
-10.214444,133,26.723769
-9.504369,121,26.858269
-1.953512,32,26.888786
-0.319707,23,26.910355
-1.194094,23,26.931971
-1.499332,9,26.940561
-4.545188,63,27.014226
-2.802304,41,27.054891
-1.508906,16,27.077953
-16.247233,239,27.36318
-43.207009,594,28.09331
-8.428486,113,28.202451
-0.991123,23,28.231259
-7.131647,90,28.35054
-16.05658,178,28.536653
-2.688276,51,28.59511
-2.38387,53,28.646293
0.008032,16,28.665933
-1.153992,14,28.686826
-0.747967,15,28.707764
-2.984883,44,28.778818
-5.771228,92,28.866751
-0.828298,13,28.879263
-8.602023,116,28.999293
-6.083106,88,29.084084
-1.290686,29,29.111273
-5.769901,120,29.256769
-2.319855,17,29.273086
-9.597113,170,29.433894
-7.199849,142,29.620466
-33.543833,488,30.206858
-3.885933,60,30.284869
-34.551483,471,30.905097
0.150781,17,30.920719
-1.452389,7,30.927426
-21.110686,298,31.203487
0.123056,30,31.231265
-11.467719,125,31.345657
-1.683385,25,31.368419
-1.350779,27,31.393
-1.991376,50,31.453292
-8.113914,129,31.608904
-3.091308,24,31.631667
-11.716662,209,31.915446
-17.31658,230,32.170918
-1.245586,15,32.185557
-12.174771,160,32.385818
-1.480496,14,32.398615
-3.649076,52,32.447018
-1.881201,15,32.468399
-21.319897,280,32.788494
-0.101648,23,32.817727
-9.968028,140,32.97444
-2.787057,24,32.997146
-3.351741,40,33.034073
-0.367931,18,33.05952
-6.486589,79,33.157813
-39.298454,501,33.670898
-9.35488,100,33.784667
-1.459848,17,33.801144
-2.492803,18,33.817672
-3.481549,41,33.866152
-1.666232,59,33.934596
-4.297966,61,33.994226
-1.96491,24,34.016435
-7.612976,133,34.155179
-9.013529,123,34.280251
