#{"t_start": 1679383445.2797785, "env_id": null}
r,l,t
-4.9,100,0.055682
-5.0,100,0.097576
-4.398865,100,0.139435
-4.3,100,0.181262
-4.999999,100,0.223227
-5.3,100,0.266123
-3.89404,100,0.307327
-4.669139,100,0.348483
-5.399991,100,0.389868
-5.097726,100,0.431373
-4.419924,100,0.489697
-4.69998,100,0.531808
-5.2,100,0.574225
-4.3,100,0.61587
-4.8,100,0.657972
-5.3,100,0.700113
-5.4,100,0.741971
-4.8,100,0.783833
-5.144705,100,0.825669
-5.6,100,0.867922
-4.7,100,0.929952
-4.3,100,0.971564
-3.400497,100,1.013228
-4.765589,100,1.055407
-3.8,100,1.097334
-4.6,100,1.139408
-4.7,100,1.181499
-4.599964,100,1.223677
-4.698686,100,1.265945
-4.6,100,1.307939
-4.7,100,1.360373
-4.499997,100,1.401933
-5.2,100,1.443754
-4.6,100,1.485337
-3.9,100,1.526874
-5.1,100,1.568978
-4.379095,100,1.610917
-4.8,100,1.652879
-4.6,100,1.694903
-5.3,100,1.737215
-4.185624,100,1.804572
-4.5,100,1.848641
-3.571787,100,1.892453
-4.1,100,1.937277
-2.775378,100,1.981105
-3.598363,100,2.024637
-3.917036,100,2.068841
-2.995318,100,2.110323
-4.071852,100,2.152475
-2.900611,100,2.194433
-3.8,100,2.247644
-5.6,100,2.290897
-3.330084,100,2.332623
-4.773761,100,2.374664
-4.749896,100,2.416423
-4.6,100,2.458092
-2.305906,100,2.499797
-4.043207,100,2.541551
-3.9,100,2.583211
-3.217442,100,2.627024
-2.817634,100,2.68042
-2.123889,100,2.736334
-3.999999,100,2.778109
-3.490343,100,2.819906
-3.6,100,2.861623
-3.0,100,2.903139
-3.7,100,2.944468
-3.5,100,2.98587
-2.894567,100,3.027484
-3.1,100,3.068943
-3.051067,100,3.121504
-3.883465,100,3.163121
-3.4,100,3.20463
-3.268789,100,3.246458
-3.3,100,3.288174
-4.2,100,3.33028
-3.299996,100,3.371951
-3.5,100,3.413517
-3.399754,100,3.455335
-3.4,100,3.496761
-3.4,100,3.550416
-3.7,100,3.60674
-3.162787,100,3.64825
-3.6,100,3.68994
-3.4,100,3.731784
-3.8,100,3.773556
-3.5,100,3.815462
-3.5,100,3.857444
-2.9,100,3.899019
-3.2,100,3.9415
-2.337467,100,3.994634
-3.117271,100,4.037901
-2.010255,100,4.079601
-3.9,100,4.121414
-3.6,100,4.163742
-2.8,100,4.205226
-3.9,100,4.247018
-2.40861,100,4.289843
-3.3,100,4.331542
-3.089944,100,4.372817
-3.016049,100,4.42641
-4.1,100,4.468421
-3.0,100,4.524255
-2.599753,100,4.565778
-3.4,100,4.607379
-2.5,100,4.648673
-3.3,100,4.690519
-3.199989,100,4.732586
-3.7,100,4.774357
-3.2,100,4.815895
-3.3,100,4.869189
-2.19443,100,4.910621
-3.4,100,4.952246
-3.8,100,4.994088
-2.795523,100,5.035546
-3.089937,100,5.077386
-2.9,100,5.118738
-2.9,100,5.160376
-2.433471,100,5.201761
-3.8,100,5.243849
-2.499993,100,5.297385
-3.0,100,5.33884
-2.6,100,5.394638
-3.1,100,5.436226
-3.399999,100,5.477895
-3.5,100,5.519989
-1.918279,100,5.561569
-1.711731,100,5.60327
-3.1,100,5.644842
-3.1,100,5.686385
-3.2,100,5.739791
