#{"t_start": 1679384317.2338202, "env_id": null}
r,l,t
-25.474795,300,0.149333
-9.609459,4,0.151198
-23.573094,300,0.286773
-23.813245,300,0.42505
-10.081257,7,0.428265
-25.682012,300,0.580848
-9.606171,9,0.585008
-24.331833,300,0.721316
-25.604378,300,0.857957
-24.903266,300,1.008897
-24.059606,300,1.156904
-23.688897,300,1.292395
-23.828119,300,1.43341
-11.192124,15,1.440226
-23.149329,300,1.576448
-24.757728,300,1.715663
-24.375999,300,1.852944
-24.471109,300,1.993462
-23.64142,300,2.129391
-23.081038,300,2.265497
-22.634727,300,2.407233
-22.493055,300,2.543454
-23.556774,300,2.680149
-25.214241,300,2.821281
-23.794966,300,3.001947
-22.9503,300,3.137291
-22.73355,300,3.273034
-10.967479,13,3.278872
-24.566807,300,3.419397
-23.708176,300,3.556483
-23.15938,300,3.693654
-21.851791,300,3.833614
-24.766413,300,3.970835
-24.55102,300,4.107196
-22.155506,300,4.246961
-23.16373,300,4.386343
-24.19691,300,4.522688
-22.873963,300,4.658626
-23.001934,300,4.798562
-22.048344,300,4.934727
-23.148906,300,5.072095
-22.028183,300,5.213854
-23.8572,300,5.350511
-24.583638,300,5.487264
-22.600884,300,5.627866
-24.205486,300,5.808306
-24.066756,300,5.944691
-25.302431,300,6.081412
-24.069042,300,6.221773
-22.589067,300,6.359136
-20.58825,300,6.495403
-24.087945,300,6.635854
-20.83357,300,6.771946
-24.436397,300,6.907965
-22.869379,300,7.047762
-21.889667,300,7.239396
-24.458166,300,7.441233
-25.770541,300,7.643737
-23.330053,300,7.85096
-23.332385,300,8.051934
-21.799135,300,8.253875
-23.677853,300,8.459698
-10.44697,8,8.465209
-22.650033,300,8.666401
-22.275249,300,8.867274
-21.925877,300,9.073836
-21.90349,300,9.258557
-9.46297,6,9.261315
-22.870908,300,9.439328
-10,3,9.44071
-22.172288,300,9.576686
-22.579847,300,9.718717
-20.703649,300,9.854376
-22.544295,300,9.989997
-21.922306,300,10.129516
-23.852117,300,10.265165
-22.067414,300,10.401466
-24.101368,300,10.540807
-10.050298,6,10.543608
-18.878905,300,10.679155
-22.630559,300,10.814366
-22.644859,300,10.950135
-24.461489,300,11.089906
-9.816155,10,11.094368
-10.199171,11,11.099362
-23.91949,300,11.235108
-24.670641,300,11.371876
-22.509039,300,11.511687
-23.683982,300,11.647582
-12.474419,36,11.663754
-21.245231,300,11.799325
-23.468899,300,11.940526
-10.258788,10,11.945045
-22.062004,300,12.080988
-24.486616,300,12.258187
-22.363187,300,12.406939
-24.770262,300,12.608803
-22.858139,300,12.769385
-23.315506,300,12.905724
-22.808726,300,13.045478
-10.299993,4,13.047378
-22.074819,300,13.182693
-23.716177,300,13.318737
-22.464422,300,13.459333
-24.018694,300,13.595725
-10.151968,10,13.600215
-27.914186,236,13.706932
-24.333027,300,13.843538
-22.138306,300,13.98398
-23.229452,300,14.120748
-21.932187,300,14.2774
-23.241434,300,14.428005
-23.465727,300,14.565187
-10.4,5,14.567563
-10.362534,22,14.577451
-20.430097,300,14.713759
-22.804455,300,14.853577
-22.72739,300,14.989843
-23.630917,300,15.125518
-21.451588,300,15.306707
-23.475696,300,15.443831
-24.424751,300,15.579558
-22.870892,300,15.715305
-22.518452,300,15.855636
-24.268731,300,15.993014
-23.32166,300,16.128767
-24.258923,300,16.26941
-22.122147,300,16.421078
-23.705286,300,16.59558
-23.329919,300,16.736019
-10.574507,24,16.746936
-21.201906,300,16.882432
-10.1,2,16.883435
-22.009028,300,17.019694
-23.486752,300,17.155572
-21.727872,300,17.295262
-23.056321,300,17.431541
-22.23256,300,17.566949
-24.002631,300,17.707056
-20.805952,300,17.843274
-24.259513,300,17.980508
-25.025723,300,18.162827
-23.101896,300,18.298973
-22.812687,300,18.434532
-22.519338,300,18.569776
-21.657103,300,18.710417
-21.375526,300,18.846876
-10.053048,9,18.850976
-21.8199,300,18.986908
-24.008145,300,19.127011
-21.075049,300,19.262537
-24.505031,300,19.399646
-23.062357,300,19.538921
-21.175217,300,19.674375
-9.120382,4,19.67623
-23.382207,300,19.812033
-23.371986,300,19.949572
-21.901245,300,20.09041
-22.498168,300,20.226365
-21.9914,300,20.362306
-22.960536,300,20.502117
-22.979315,300,20.637759
-10.898293,14,20.644049
-22.057256,300,20.780175
-22.339206,300,20.961748
-22.237465,300,21.098231
-22.321519,300,21.234986
-24.332392,300,21.371053
-24.160073,300,21.512094
-10.301162,5,21.514449
-23.539014,300,21.650685
-24.240967,300,21.786965
-21.723474,300,21.928098
-22.68998,300,22.064157
-23.003725,300,22.200365
-23.616234,300,22.341542
-9.79319,5,22.343912
-22.362852,300,22.479413
-22.304584,300,22.615262
-21.649465,300,22.75153
-24.347004,300,22.891583
-24.153206,300,23.028008
-9.933021,8,23.031564
-23.884293,300,23.168108
-24.028028,300,23.3078
-22.404493,300,23.444862
-21.019355,300,23.579779
-22.966863,300,23.718421
-22.904508,300,23.89773
-23.1399,300,24.034039
-23.506754,300,24.170535
-23.179085,300,24.311287
-9.752703,13,24.317105
-24.652347,300,24.453209
-23.595489,300,24.589291
-22.737838,300,24.730283
-21.449463,300,24.866371
-22.220347,300,25.002868
-9.811171,3,25.004257
-23.984111,300,25.145045
-10.106714,8,25.148681
-22.554137,300,25.284421
-21.228157,300,25.420598
-23.436877,300,25.560473
-25.162885,300,25.697799
-9.489353,6,25.700605
-24.430982,300,25.837591
-22.498361,300,25.974431
-22.994075,300,26.11451
-22.994838,300,26.250854
-24.296777,300,26.387137
-23.472843,300,26.528348
-23.00864,300,26.706893
-21.202203,300,26.842841
-21.971295,300,26.983761
-21.877817,300,27.119534
-22.913759,300,27.255424
-22.250802,300,27.391835
-9.188474,8,27.395471
-10.2,6,27.398145
-22.596234,300,27.53838
-21.103298,300,27.674045
-23.374906,300,27.810129
-21.634527,300,27.992794
-22.42502,300,28.141495
-21.249499,300,28.277119
-10.298311,4,28.279029
-21.530205,300,28.419069
-21.266585,300,28.555388
-21.673354,300,28.691918
-22.265454,300,28.82864
-8.968684,14,28.834972
-21.929717,300,28.975189
-23.468894,300,29.111708
-22.697688,300,29.247667
-20.399785,300,29.387779
-21.741396,300,29.568234
-19.273769,300,29.703269
-10.79347,12,29.70866
-22.24714,300,29.849111
-10.049869,9,29.853215
-22.505815,300,29.991577
-22.602485,300,30.128116
-23.476158,300,30.265239
-9.745708,6,30.268052
-22.58761,300,30.40895
-22.505727,300,30.544946
-20.812651,300,30.68085
-22.175451,300,30.821193
-19.464873,300,30.957004
-22.640306,300,31.093758
-9.981231,19,31.10232
-22.501326,300,31.242267
-10.353223,7,31.245548
-22.399818,300,31.38172
