#{"t_start": 1679334518.025263, "env_id": null}
r,l,t
-5.1,100,0.080175
-4.8,100,0.103379
-5.5,100,0.126762
-5.097597,100,0.149971
-4.8,100,0.173298
-4.6,100,0.196538
-4.78062,100,0.220032
-5.3,100,0.24346
-5.2,100,0.266952
-4.9,100,0.290352
-4.399999,100,0.332201
-4.551131,100,0.353621
-5.428342,100,0.378046
-5.193059,100,0.401996
-4.6,100,0.425611
-4.295454,100,0.448957
-5.3,100,0.472554
-4.8,100,0.496322
-5.1,100,0.519824
-5.098484,100,0.543274
-4.1,100,0.581879
-3.885408,100,0.605644
-4.967653,100,0.62915
-4.8,100,0.652683
-4.33794,100,0.676364
-6.0,100,0.700202
-4.742018,100,0.723746
-4.247944,100,0.747317
-5.495665,100,0.770882
-4.792743,100,0.79452
-3.4,100,0.831383
-4.8,100,0.854776
-4.5,100,0.878294
-4.8,100,0.901824
-5.627811,100,0.925595
-3.74168,100,0.948864
-5.6,100,0.97266
-3.99005,100,0.996144
-5.5,100,1.019801
-3.818555,100,1.04325
-4.9,100,1.080588
-3.585723,100,1.103908
-5.4,100,1.127634
-5.9,100,1.151382
-3.9,100,1.174528
-5.399968,100,1.198291
-5.5,100,1.222229
-5.1,100,1.245887
-4.4,100,1.269467
-5.5,100,1.293236
-5.0,100,1.321863
-4.9,100,1.345445
-4.328047,100,1.369359
-4.4,100,1.393074
-4.329215,100,1.416748
-5.7,100,1.440501
-4.2,100,1.464087
-3.984398,100,1.48769
-4.788354,100,1.511342
-5.5,100,1.534933
-4.340819,100,1.563818
-5.1,100,1.587646
-4.844079,100,1.611242
-4.999839,100,1.634952
-4.7,100,1.658815
-5.273461,100,1.683125
-5.0,100,1.706803
-4.7,100,1.730595
-6.3,100,1.754617
-4.28694,100,1.778018
-4.7,100,1.806508
-5.7,100,1.830485
-4.9,100,1.854249
-5.3,100,1.877834
-3.154413,100,1.901016
-4.4,100,1.92451
-5.799994,100,1.948689
-4.4,100,1.972207
-3.701061,100,1.995729
-3.816638,100,2.019141
-4.8,100,2.04806
-3.082782,100,2.071513
-4.199654,100,2.095258
-4.881903,100,2.118699
-4.6,100,2.142294
-5.0,100,2.16588
-5.4,100,2.189565
-5.0,100,2.213377
-1,3,2.214248
-4.8,100,2.237766
-4.101094,100,2.277928
-5.6,100,2.304077
-4.888464,100,2.330016
-5.3,100,2.35597
-4.056479,100,2.380144
-4.0,100,2.403867
-4.726622,100,2.430113
-4.8,100,2.455986
-3.377027,100,2.481622
-5.3,100,2.507739
-5.2,100,2.552349
-5.2,100,2.578541
-5.1,100,2.604382
-4.9,100,2.630105
-5.5,100,2.656288
-4.899078,100,2.682101
-5.3,100,2.708149
-4.3,100,2.7337
-5.1,100,2.759895
-5.998119,100,2.78612
