x,y,seed
5000,-4.692307480000001,3
5100,-4.6617010400000005,3
5200,-4.67970104,3
5300,-4.6892005800000005,3
5400,-4.700039780000001,3
5500,-4.70203876,3
5600,-4.71003878,3
5700,-4.7257951600000005,3
5800,-4.7118385400000005,3
5900,-4.72983854,3
6000,-4.75183854,3
6100,-4.72856656,3
6200,-4.72043118,3
6300,-4.72243118,3
6400,-4.7124312999999995,3
6500,-4.73600156,3
6600,-4.74600156,3
6700,-4.78555662,3
6800,-4.78955706,3
6900,-4.80505322,3
7000,-4.79699566,3
7100,-4.7931148,3
7200,-4.772368359999999,3
7300,-4.81143448,3
7400,-4.8154344799999995,3
7500,-4.81943448,3
7600,-4.79643726,3
7700,-4.78764614,3
7800,-4.7628866599999995,3
7900,-4.79420106,3
8000,-4.7872473200000005,3
8100,-4.82359304,3
8200,-4.81244206,3
8300,-4.8196213000000006,3
8400,-4.831836000000001,3
8500,-4.8420438400000005,3
8600,-4.8822542,3
8700,-4.87145496,3
8800,-4.8714549599999994,3
8900,-4.86545512,3
9000,-4.874119800000001,3
9100,-4.901451400000001,3
9200,-4.931308560000001,3
9300,-4.971161260000001,3
9400,-4.97716126,3
9500,-4.990797120000001,3
9600,-4.998037280000001,3
9700,-5.0180366,3
9800,-5.015880280000001,3
9900,-5.0496604000000005,3
10000,-5.047660400000001,3
10100,-5.05657702,3
10200,-5.05457702,3
10300,-5.06387472,3
10400,-5.066499320000001,3
10500,-5.048979220000001,3
10600,-5.038979220000001,3
10700,-5.02337584,3
10800,-5.01499356,3
10900,-4.99499356,3
11000,-4.97299356,3
11100,-5.01889738,3
11200,-5.04703276,3
11300,-5.029032759999999,3
11400,-5.011032759999998,3
11500,-4.991088079999999,3
11600,-4.968605699999999,3
11700,-4.940605699999998,3
11800,-4.9366056999999985,3
11900,-4.927810259999998,3
12000,-4.938703239999999,3
12100,-4.920703239999998,3
12200,-4.935449699999999,3
12300,-4.939449699999999,3
12400,-4.945449699999998,3
12500,-4.925449699999999,3
12600,-4.94613254,3
12700,-4.9607274199999996,3
12800,-4.93318976,3
12900,-4.927200520000001,3
13000,-4.940154260000001,3
13100,-4.934761740000001,3
13200,-4.961912760000001,3
13300,-4.916316840000001,3
13400,-4.876267260000001,3
13500,-4.861329320000001,3
13600,-4.848328800000002,3
13700,-4.851179760000002,3
13800,-4.85517976,3
13900,-4.84717976,3
14000,-4.83251424,3
14100,-4.80651424,3
14200,-4.794514240000001,3
14300,-4.774514260000001,3
14400,-4.779730600000001,3
14500,-4.769748680000001,3
14600,-4.762565740000001,3
14700,-4.7448882600000015,3
14800,-4.745044660000001,3
14900,-4.739044400000002,3
15000,-4.722013620000001,3
15100,-4.732541660000002,3
15200,-4.7465416000000005,3
15300,-4.742541600000001,3
15400,-4.717239600000001,3
15500,-4.746760720000001,3
15600,-4.740760720000001,3
15700,-4.74060772,3
15800,-4.75894662,3
15900,-4.767929839999999,3
16000,-4.743160879999999,3
16100,-4.709257199999999,3
16200,-4.695257199999999,3
16300,-4.698730919999998,3
16400,-4.710730919999999,3
16500,-4.716675599999999,3
16600,-4.729157979999999,3
16700,-4.7511579799999994,3
16800,-4.7591579799999995,3
16900,-4.757924199999999,3
17000,-4.735496079999999,3
17100,-4.74149608,3
17200,-4.716483,3
17300,-4.68028758,3
17400,-4.67668538,3
17500,-4.6846853799999995,3
17600,-4.676545379999999,3
17700,-4.667847459999999,3
17800,-4.7070684,3
17900,-4.701057639999999,3
18000,-4.7008816,3
18100,-4.690881599999999,3
18200,-4.682099679999999,3
18300,-4.71652064,3
18400,-4.75457022,3
18500,-4.76057022,3
18600,-4.7530104600000005,3
18700,-4.74301044,3
18800,-4.71501044,3
18900,-4.711010440000001,3
19000,-4.71500606,3
19100,-4.734737480000001,3
19200,-4.7447374799999995,3
19300,-4.73555544,3
19400,-4.741838799999999,3
19500,-4.749838799999999,3
19600,-4.77498224,3
19700,-4.7746604,3
19800,-4.7848222400000004,3
19900,-4.7928225,3
20000,-4.8034754,3
20100,-4.79263724,3
20200,-4.800637300000001,3
20300,-4.7906373,3
20400,-4.8307148600000005,3
20500,-4.802714859999999,3
20600,-4.798611479999999,3
20700,-4.784756419999999,3
20800,-4.7967564199999995,3
20900,-4.8037732,3
21000,-4.80278522,3
21100,-4.81278522,3
21200,-4.806784340000001,3
21300,-4.803996380000001,3
21400,-4.793909200000001,3
21500,-4.7879092000000005,3
21600,-4.7835502,3
21700,-4.785550199999999,3
21800,-4.799550199999999,3
21900,-4.824328819999999,3
22000,-4.846756939999999,3
22100,-4.856756939999999,3
22200,-4.887770019999999,3
22300,-4.907965439999999,3
22400,-4.901567639999999,3
22500,-4.89156764,3
22600,-4.883304,3
22700,-4.89219816,3
22800,-4.89224478,3
22900,-4.8975668200000015,3
23000,-4.891742860000002,3
23100,-4.886728900000001,3
23200,-4.869704940000001,3
23300,-4.8737049400000005,3
23400,-4.88370494,3
23500,-4.872014860000001,3
23600,-4.855932779999999,3
23700,-4.850954039999999,3
23800,-4.860147159999999,3
23900,-4.86011714,3
24000,-4.840122359999999,3
24100,-4.85439094,3
24200,-4.85132206,3
24300,-4.8645041,3
24400,-4.8610044,3
24500,-4.8710044,3
24600,-4.87879974,3
24700,-4.87154138,3
24800,-4.8664834,3
24900,-4.86448006,3
25000,-4.8867762,3
25100,-4.87345884,3
25200,-4.84945884,3
25300,-4.845458839999999,3
25400,-4.83805868,3
25500,-4.850058679999999,3
25600,-4.849137839999999,3
25700,-4.8809929,3
25800,-4.8669929000000005,3
25900,-4.84703774,3
26000,-4.880863280000001,3
26100,-4.9087734,3
26200,-4.924774280000001,3
26300,-4.908100120000001,3
26400,-4.9106993800000005,3
26500,-4.919418819999999,3
26600,-4.923777819999999,3
26700,-4.880821039999998,3
26800,-4.836690659999999,3
26900,-4.836690659999999,3
27000,-4.822690539999999,3
27100,-4.828690539999999,3
27200,-4.830649860000001,3
27300,-4.828649800000001,3
27400,-4.830277160000002,3
27500,-4.817127800000002,3
27600,-4.8558458200000025,3
27700,-4.851422260000003,3
27800,-4.8336349000000025,3
27900,-4.834921380000003,3
28000,-4.830921380000002,3
28100,-4.847934920000003,3
28200,-4.875740460000002,3
28300,-4.863740460000002,3
28400,-4.845740460000001,3
28500,-4.836032780000002,3
28600,-4.871696260000001,3
28700,-4.8746750200000015,3
28800,-4.873481900000002,3
28900,-4.899511920000002,3
29000,-4.893267260000002,3
29100,-4.873058240000002,3
29200,-4.888126840000003,3
29300,-4.902126840000002,3
29400,-4.898106100000002,3
29500,-4.882106100000001,3
29600,-4.868307580000001,3
29700,-4.86556594,3
29800,-4.88171168,3
29900,-4.87171502,3
30000,-4.861796760000001,3
30100,-4.875114120000001,3
30200,-4.875113140000001,3
30300,-4.899112160000001,3
30400,-4.895112160000001,3
30500,-4.90911216,3
30600,-4.91609254,3
30700,-4.89609254,3
30800,-4.90409254,3
30900,-4.9247657799999995,3
31000,-4.895722599999999,3
31100,-4.8778124799999985,3
31200,-4.883812439999998,3
31300,-4.931800839999998,3
31400,-4.925287199999999,3
31500,-4.938567759999999,3
31600,-4.938567759999999,3
31700,-4.947940079999999,3
31800,-4.972063919999999,3
31900,-4.970063919999999,3
32000,-4.974824759999999,3
32100,-4.972824759999999,3
32200,-4.976865439999998,3
32300,-4.962865279999999,3
32400,-4.943115799999998,3
32500,-4.958265159999999,3
32600,-4.931720499999999,3
32700,-4.930144059999999,3
32800,-4.944006699999998,3
32900,-4.969398179999998,3
33000,-4.961398179999998,3
33100,-4.929679479999999,3
33200,-4.910465439999999,3
33300,-4.90480064,3
33400,-4.910800640000001,3
33500,-4.922089840000001,3
33600,-4.904378440000001,3
33700,-4.9023784400000014,3
33800,-4.9138409800000025,3
33900,-4.875092320000002,3
34000,-4.902960460000002,3
34100,-4.894339520000002,3
34200,-4.886336660000001,3
34300,-4.859016700000001,3
34400,-4.849037440000001,3
34500,-4.8770374400000005,3
34600,-4.853303080000002,3
34700,-4.867302740000001,3
34800,-4.842053140000002,3
34900,-4.856053140000002,3
35000,-4.854053140000002,3
35100,-4.856041320000002,3
35200,-4.8760421800000024,3
35300,-4.842040700000002,3
35400,-4.842040700000001,3
35500,-4.8260403200000015,3
35600,-4.840083180000002,3
35700,-4.8480831800000015,3
35800,-4.866083180000001,3
35900,-4.8773015200000005,3
36000,-4.892276100000001,3
36100,-4.866261620000001,3
36200,-4.856261600000002,3
36300,-4.8255020800000015,3
36400,-4.827502660000001,3
36500,-4.817242040000001,3
36600,-4.808274420000001,3
36700,-4.819858880000001,3
36800,-4.813865420000001,3
36900,-4.77509456,3
37000,-4.778333839999999,3
37100,-4.77605124,3
37200,-4.75205124,3
37300,-4.774051399999999,3
37400,-4.79817104,3
37500,-4.81120274,3
37600,-4.817747399999998,3
37700,-4.8157473999999985,3
37800,-4.809253259999998,3
37900,-4.803253259999998,3
38000,-4.803253259999999,3
38100,-4.83697238,3
38200,-4.850186759999999,3
38300,-4.847851559999999,3
38400,-4.834135139999999,3
38500,-4.8409219199999995,3
38600,-4.848115259999999,3
38700,-4.85611526,3
38800,-4.86065272,3
38900,-4.89740138,3
39000,-4.9177779,3
39100,-4.93260786,3
39200,-4.93060706,3
39300,-4.948869799999999,3
39400,-4.968869799999999,3
39500,-4.9568698,3
39600,-4.974608,3
39700,-4.94660834,3
39800,-4.9318966400000015,3
39900,-4.927896640000001,3
40000,-4.906847320000001,3
40100,-4.8790375400000014,3
40200,-4.881037660000001,3
40300,-4.89904012,3
40400,-4.9130348800000005,3
40500,-4.91103526,3
40600,-4.859840920000001,3
40700,-4.87584092,3
40800,-4.84184092,3
40900,-4.81371776,3
41000,-4.80455936,3
41100,-4.8145738399999995,3
41200,-4.816215359999999,3
41300,-4.822974879999999,3
41400,-4.838975860000001,3
41500,-4.84435162,3
41600,-4.85131924,3
41700,-4.8652405,3
41800,-4.8732405000000005,3
41900,-4.90833078,3
42000,-4.88662462,3
42100,-4.8744955,3
42200,-4.890495499999999,3
42300,-4.861681259999999,3
42400,-4.855578599999999,3
42500,-4.832546859999999,3
42600,-4.840546859999999,3
