#{"t_start": 1679337801.222615, "env_id": null}
r,l,t
-117.455615,1500,0.408469
-30.594749,385,0.518857
-1.205957,9,0.521641
-116.609292,1500,0.878996
-118.036831,1500,1.169456
-121.095884,1500,1.567066
-115.760945,1500,1.924125
-116.740659,1500,2.217341
-50.907134,677,2.350673
-114.48323,1500,2.64169
-117.290929,1500,2.938507
-113.989681,1500,3.230367
-112.410146,1500,3.525513
-126.010414,1500,3.81694
-120.451441,1500,4.111223
-76.071795,973,4.301053
-120.114026,1500,4.593892
-117.886821,1500,4.892048
-120.024498,1500,5.185061
-112.572127,1500,5.480114
-112.498193,1500,5.773041
-117.378522,1500,6.067773
-109.034583,1418,6.343023
-118.072633,1500,6.632655
-115.839031,1500,6.929653
-51.553863,626,7.054084
-20.632754,253,7.10223
-112.424469,1500,7.394483
-4.275281,70,7.408058
-117.760412,1500,7.701672
-116.10742,1500,7.995473
-13.794306,164,8.031277
-113.532787,1500,8.380465
-7.182669,114,8.413982
-114.621878,1500,8.71008
-120.027729,1500,9.085881
-114.368347,1500,9.414882
-41.973453,510,9.512178
-120.013281,1500,9.804771
-118.875654,1500,10.094322
-2.20617,16,10.097544
-113.936864,1500,10.462675
-122.331079,1500,11.21632
-120.054063,1500,12.013502
-112.419098,1500,12.862389
-119.388065,1500,13.647483
-109.584439,1500,14.438031
-114.024686,1500,15.236477
-108.900227,1500,16.013148
-17.207594,232,16.133655
-100.944272,1334,16.88517
-26.955937,352,17.073677
-9.003517,115,17.133575
-45.988723,567,17.436697
-17.360335,228,17.557557
-107.357969,1500,18.356045
-45.199199,598,18.671887
-109.465361,1500,19.521539
-9.077868,101,19.576559
-24.531992,338,19.758471
-95.920881,1307,20.467384
-63.100777,917,20.967154
-83.415049,1189,21.703718
-14.527371,213,21.876634
-20.365861,301,22.139305
-1.713749,13,22.150697
-20.633311,310,22.413185
-3.195874,31,22.440862
-24.524045,418,22.804466
-1.452934,14,22.817893
-91.527753,1500,24.115651
-9.337283,140,24.238348
-22.921947,348,24.54863
-92.454907,1500,25.841088
-1.585468,25,25.863086
-17.265973,276,26.109175
-1.363682,14,26.121361
-4.704699,72,26.18661
1.355873,13,26.199567
-69.343813,1072,27.142509
-51.1883,807,27.855168
-1.651367,9,27.865161
-15.475449,281,28.111853
-35.687512,588,28.62537
-28.855839,439,29.015843
-8.146425,129,29.128948
-53.587476,938,29.955125
-8.236676,123,30.064704
-10.660057,190,30.2297
-37.227816,643,30.79856
-11.155296,211,30.987983
-20.667332,395,31.339516
-15.875805,318,31.614851
-0.361103,7,31.621497
-31.76077,507,32.064012
-1.966768,18,32.078713
-7.699477,126,32.18884
-32.154722,608,32.729451
-14.43544,242,32.940823
-21.727885,350,33.253529
-2.116933,33,33.282976
-23.228522,417,33.648147
-55.159586,973,34.519358
-8.272509,129,34.633501
-43.881127,777,35.317648
-1.485805,8,35.324951
-5.507574,75,35.392016
-18.884512,288,35.644974
-1.355185,18,35.660769
-3.558986,61,35.716332
-1.579943,8,35.724077
-6.970516,126,35.842999
-7.543514,142,35.96841
-29.222582,625,36.516962
-21.956941,396,36.872558
-25.419374,412,37.237158
-1.230627,17,37.252215
-39.958829,767,37.947044
-15.474287,269,38.187063
-23.894897,485,38.641772
-11.123152,177,38.801803
-19.60235,380,39.130426
-0.014877,16,39.144939
-42.038832,844,39.920174
-2.779108,20,39.937606
-13.407249,258,40.159333
-1.41457,9,40.16697
-9.804777,186,40.352518
-2.209296,19,40.369809
-17.043978,369,40.690442
-26.352767,541,41.18325
-12.346656,295,41.43927
-2.416498,22,41.45749
-8.825432,185,41.61987
-19.155546,353,41.929699
-18.292181,317,42.226393
-4.79244,58,42.278756
-51.224068,1177,43.333535
-19.856533,378,43.66159
-1.925747,22,43.683011
-1.951619,16,43.697171
-8.699547,270,43.950967
-21.352395,376,44.280125
-9.974985,157,44.425526
-34.234013,638,45.007155
-30.453346,708,45.647894
-51.345622,1081,46.621
-4.627913,60,46.674292
-14.728808,295,46.873647
-25.14104,538,47.356185
-4.142866,54,47.42623
-30.845359,711,48.050726
-12.135319,237,48.254458
-25.331587,505,48.714144
-0.787593,18,48.730809
-21.627227,467,49.134433
-10.896897,226,49.351683
-4.684345,73,49.415753
-21.905129,620,49.956373
-1.908766,40,49.991391
-5.765879,93,50.095823
-30.019238,618,50.628914
-4.464545,47,50.669858
-7.920896,176,50.820708
-1.909059,23,50.842283
-9.818039,273,51.095579
-19.493761,415,51.428516
-14.023556,348,51.71322
-14.116974,258,51.940343
-51.232968,1087,52.893463
-0.481782,15,52.906919
-2.276417,43,52.942899
-5.769298,149,53.068488
-1.486905,24,53.089196
-3.871388,37,53.120424
-15.939102,387,53.409774
-1.569185,51,53.437735
-0.900128,12,53.444419
-8.470302,192,53.579994
-15.64038,331,53.866038
-4.790572,104,53.958896
-15.733787,288,54.20886
-6.330488,89,54.286244
-2.375969,52,54.354783
-0.858401,24,54.375384
-1.590894,37,54.411222
-5.738004,118,54.520665
-9.507184,195,54.697619
-29.574254,717,55.21803
-6.648618,225,55.380975
-18.499808,339,55.657534
-1.88844,39,55.69369
-18.997947,441,56.063035
-5.289875,102,56.160456
-0.211249,20,56.179878
-8.953244,272,56.427373
-2.000056,30,56.454577
-24.069889,464,56.899053
-23.454606,498,57.361035
-20.004955,609,57.909444
1.01456,22,57.928519
-4.014969,152,58.065372
-1.268738,22,58.08636
-21.104188,448,58.494775
-3.479738,26,58.516868
-3.138882,76,58.585826
-1.488556,56,58.63781
-0.787719,20,58.656066
-6.027274,132,58.798468
-3.564414,96,58.885626
-1.66124,24,58.907531
-1.720082,20,58.926837
-13.015754,259,59.165517
-4.7054,126,59.294717
-2.655112,58,59.347265
-12.508753,302,59.647824
-0.089149,16,59.663399
-31.920488,759,60.346434
-4.003681,93,60.430283
-9.166099,180,60.60373
-41.63744,1084,61.509503
-3.077215,42,61.546904
-4.663401,110,61.648883
-5.376405,131,61.761623
-1.55965,38,61.797182
-9.428304,176,61.946081
-3.273896,42,61.969472
-2.372421,30,61.987711
-11.060615,317,62.181499
-5.79724,144,62.2626
-1.493261,24,62.276012
-2.119452,25,62.290287
-26.23115,735,62.721448
-15.064593,309,63.006102
-1.699997,10,63.016402
-4.518857,59,63.072392
-26.756037,607,63.622108
-6.533636,133,63.776009
-5.531491,78,63.847639
-5.576652,98,63.942106
-5.672903,85,64.0247
-3.442901,32,64.055589
-7.110835,123,64.166434
-2.732356,23,64.185717
-2.916447,76,64.256548
-4.661295,114,64.363628
-4.175793,63,64.422071
-18.812609,505,64.907744
-13.850979,254,65.089232
-2.72552,27,65.114729
-5.93014,171,65.269509
-2.396613,74,65.335051
-1.036799,26,65.359378
-8.271401,159,65.500473
-0.146645,13,65.512537
-5.17623,84,65.608758
-23.981038,568,66.128808
-7.409089,164,66.277572
-3.713212,82,66.351816
-11.003177,234,66.568855
-9.068388,233,66.703837
-0.96407,11,66.710778
-3.830735,58,66.744471
-0.200946,12,66.751951
-1.220148,13,66.761018
-2.099477,27,66.776462
-14.240768,466,67.193216
-8.841662,235,67.429995
-5.767107,195,67.607414
-16.082358,390,67.875782
-6.691267,226,68.069819
-9.526656,207,68.201586
-0.788656,14,68.210515
-5.008118,173,68.358009
-19.494984,414,68.724667
-4.579362,99,68.814129
-0.970587,18,68.830925
-16.574355,341,69.101719
-5.970383,60,69.136461
-8.37184,240,69.343837
-1.228483,16,69.359682
-2.87848,102,69.45523
-3.002972,60,69.51134
-2.306842,43,69.552671
-0.189193,124,69.669951
