#{"t_start": 1679348912.2589028, "env_id": null}
r,l,t
-0.725266,19,0.063993
-1.035557,40,0.085161
-54.263848,763,0.487152
-10.968086,147,0.567135
1.641358,19,0.578322
-51.311416,681,1.107265
-2.133871,21,1.118456
-19.973902,273,1.263932
-2.369526,28,1.278593
-43.25377,547,1.596538
-2.693367,40,1.617537
-17.847419,273,1.762892
-42.031766,513,2.230114
-12.050663,167,2.333366
-75.459523,1018,2.970814
-51.837241,704,3.378763
-28.911079,383,3.62347
-6.603394,98,3.676663
-0.635661,23,3.68984
-44.385477,585,6.565758
-1.254634,42,6.60383
0.859469,8,6.608038
-10.721307,122,6.687957
-6.924565,110,6.744661
-0.895181,22,6.756014
-1.883125,49,6.781219
-3.209947,40,6.801687
-11.82274,177,6.892993
-1.064588,33,6.910063
-13.252187,165,7.030892
-15.637824,227,7.148545
-12.395034,186,7.244516
-1.084675,25,7.257175
-0.877487,14,7.26443
-12.22175,214,7.375037
-9.633556,126,7.502279
-34.899886,495,7.816982
-5.683684,114,7.87613
-4.856165,57,7.90531
-0.568731,21,7.916237
-3.215485,57,7.945475
-27.833007,428,8.215421
1.611119,24,8.22761
0.035449,9,8.24843
-3.205127,26,8.274163
-16.495862,272,8.415084
-17.705191,270,8.554039
-4.68378,49,8.579471
-15.871514,219,8.692477
-1.432178,34,8.709955
-7.079852,99,8.780298
0.86108,21,8.791235
-9.828688,156,8.872252
-1.06108,20,8.882714
-16.889645,239,9.006746
-36.37933,513,9.276995
-47.038592,636,9.643001
-2.354397,17,9.65197
-1.312649,27,9.665944
-2.634215,37,9.685008
-12.898736,192,9.791182
-15.584144,209,9.923799
-0.433417,14,9.932227
-1.275835,14,9.939868
-21.308306,298,12.609385
-0.992026,11,12.615671
0.431989,14,12.623908
-0.615294,13,12.63152
-9.503512,146,12.714949
-0.319413,16,12.724099
-13.360823,164,12.816278
0.384013,30,12.832257
-6.45486,109,12.890892
-6.254802,89,12.992873
-7.288365,121,13.119851
-2.449728,60,13.151347
-1.626609,16,13.159751
-2.298154,55,13.188901
-1.038932,18,13.198291
-0.435598,9,13.203043
-1.250682,15,13.210999
-2.421473,33,13.228167
-12.656157,206,13.336569
-33.065428,459,13.652999
-3.336537,39,13.689996
-17.288215,214,14.009431
-0.123144,12,14.039935
-1.851659,18,14.073298
-2.460939,62,14.175168
-1.429117,19,14.189551
-16.111656,233,14.566209
0.164731,26,14.612122
-3.374092,34,14.662384
-1.365799,18,14.688014
-1.234621,14,14.711538
-1.776695,24,14.756657
-2.570327,54,14.841966
-8.710882,112,14.905751
-19.476166,248,15.171016
-0.198051,23,15.199698
-1.271292,24,15.232673
-24.897721,338,15.761787
-2.666772,22,15.805737
0.101333,25,15.850919
-0.273627,21,15.877775
0.633166,23,15.905782
-46.368991,662,16.785159
-1.475761,32,16.817816
-2.230585,82,16.909554
0.034801,35,16.944101
-20.391268,311,17.429803
-17.909894,247,17.827313
-24.879293,347,18.276071
-9.535699,153,18.412324
-1.777392,9,18.417331
-0.638889,15,18.425374
-15.71674,249,18.559421
-9.802793,153,18.674838
-1.796441,10,18.680277
-2.239663,26,18.694085
-1.87969,13,18.701054
-3.140745,42,18.765771
-1.205693,21,18.797178
-11.459092,193,19.039424
-0.11367,30,19.089146
-1.395067,23,19.13461
0.102317,23,19.164052
-5.302501,59,19.278975
-2.276993,22,19.308001
-2.626517,27,24.047197
-10.482293,171,24.276398
-1.141438,21,24.298683
-3.855106,86,24.384306
-4.197697,72,24.46239
-4.805288,80,24.56528
-16.338266,259,24.906653
-0.091587,20,24.929356
-22.160816,376,25.323318
-0.998997,57,25.393496
-3.681734,82,25.497805
-0.115481,19,25.519695
0.08728,13,25.534574
-1.211192,23,25.559155
-3.061118,78,25.638843
-1.526438,12,25.645107
-2.495175,41,25.691063
-1.822114,68,25.759084
-9.513371,165,25.972124
-1.31855,13,25.987231
-8.046756,116,26.096965
-0.225338,34,26.152681
0.325613,12,26.16705
-1.247566,21,26.185955
-2.522826,20,26.208738
-0.776202,17,26.225738
-0.384242,17,26.24716
-8.852711,154,26.414016
-4.481977,85,26.534143
-0.591942,32,26.571054
0.197869,29,26.602412
-5.178503,95,26.700688
-1.09338,14,26.716095
-10.081708,160,26.926517
-0.22818,30,26.958229
-11.132574,153,27.148498
-4.004845,77,27.229013
-0.014919,27,27.253234
-0.363607,23,27.277605
-2.474901,56,27.339506
-0.077115,12,27.349785
-2.580105,26,27.387876
-4.24269,72,27.506423
-0.311356,14,27.513603
-8.27699,139,27.672937
-0.937428,30,27.705028
-0.507538,16,27.721291
-2.03274,23,27.749452
-5.951192,142,27.896597
-0.718826,14,27.911987
-0.777147,15,27.928015
-2.27173,32,27.96109
-2.477488,50,28.040438
-1.390157,17,28.05303
-9.64735,185,28.307148
-1.616551,34,28.334798
-1.107477,17,28.359852
-0.488382,45,28.396749
-6.19519,110,28.527297
0.903185,25,28.552786
-3.957545,54,28.597645
-7.037722,103,28.741316
-7.898172,154,28.992095
-3.122009,34,29.04231
-1.081559,13,29.065343
-18.467378,274,29.427573
-0.500511,39,29.473913
-2.058168,15,29.490062
-2.897439,61,29.586755
-1.62176,26,29.646281
-2.637496,46,29.711257
-1.197089,21,29.730505
-0.179734,24,29.759562
0.151577,10,29.764948
-12.74978,188,29.964873
-1.505896,21,29.992152
-8.581621,154,30.155097
-2.48288,86,30.277361
-1.079416,30,30.325562
-3.437824,72,30.404336
-2.638828,57,30.459613
-1.103378,6,30.465808
-7.507354,89,30.561937
-1.843801,26,30.59184
-1.878081,13,30.606917
-3.87949,78,30.689186
-4.242196,64,30.785758
-24.727726,345,31.369104
-3.166992,32,31.411598
-0.202802,17,31.427631
-7.816801,119,31.56151
-5.728136,115,36.575597
-1.889228,15,36.604864
-4.110663,74,36.700606
-0.739239,33,36.76634
-6.410383,117,36.940288
0.084086,11,36.96232
-0.981816,24,37.007188
-0.706924,9,37.011911
-4.148677,81,37.1675
-2.535616,39,37.220615
-2.698198,36,37.300815
-2.726829,62,37.403143
-0.721458,19,37.42951
-7.012579,105,37.611367
-17.317918,226,37.970536
1.249816,9,37.991639
-0.976308,5,37.994364
-1.596214,17,38.019541
-2.371604,21,38.063063
-0.335091,13,38.069824
-6.971067,151,38.258763
0.948788,46,38.307508
-2.948849,25,38.328972
-1.044462,9,38.341957
-5.587762,76,38.425126
-1.797337,29,38.455943
-0.302744,52,38.511257
-0.684013,12,38.517589
-9.794972,152,38.737693
-2.442195,36,38.789116
-0.737833,18,38.810997
-12.350932,163,38.999924
-0.682677,30,39.032507
-2.427556,30,39.065007
-0.501358,17,39.086301
-3.552492,78,39.168523
-3.828544,59,39.235236
-9.692274,166,39.472761
-13.012016,254,39.805592
-0.621902,22,39.849063
-1.468799,16,39.865867
-0.799958,12,39.880351
-0.628303,32,39.909586
-4.224052,113,40.035053
-20.852365,316,40.373849
-1.050852,26,40.404007
-0.331305,5,40.414989
