#{"t_start": 1679334500.7854927, "env_id": null}
r,l,t
-5.1,100,0.077615
-4.4,100,0.12033
-5.399771,100,0.163482
-5.3,100,0.20754
-4.8,100,0.250266
-4.2,100,0.292289
-4.204616,100,0.334853
-4.396517,100,0.377326
-5.699991,100,0.420195
-4.099918,100,0.464161
-4.517478,100,0.521596
-4.59998,100,0.564417
-4.9,100,0.607546
-4.9,100,0.650265
-4.9,100,0.692789
-4.9,100,0.735427
-4.8,100,0.777737
-4.6,100,0.820831
-4.324731,100,0.863369
-5.9,100,0.907109
-4.7,100,1.516
-4.5,100,1.558973
-2.759488,100,1.601478
-4.065589,100,1.644048
-4.0,100,1.686563
-4.5,100,1.731244
-4.5,100,1.774
-5.199999,100,1.816413
-3.298686,100,1.858894
-4.5,100,1.902264
-3.8,100,1.95602
-3.999994,100,1.998375
-4.3,100,2.040788
-4.3,100,2.083295
-4.1,100,2.125796
-4.7,100,2.168296
-4.079095,100,2.21116
-3.4,100,2.253327
-4.0,100,2.296178
-4.2,100,2.339157
-4.042001,100,2.950234
-3.6,100,2.992253
-3.185245,100,3.034361
-2.6,100,3.076577
-2.035193,100,3.118766
-2.676665,100,3.161028
-3.217036,100,3.203079
-3.470237,100,3.245689
-3.569065,100,3.288675
-2.100611,100,3.331162
-2.6,100,3.384898
-3.6,100,3.427012
-2.134839,100,3.469214
-2.339819,100,3.511367
-3.890901,100,3.553901
-3.2,100,3.59642
-2.353304,100,3.638834
-3.405201,100,3.681246
-3.9,100,3.726032
-2.544261,100,3.76828
-2.42393,100,3.823111
-1.601277,100,4.421676
-3.299999,100,4.463878
-2.080639,100,4.505785
-2.599999,100,4.547406
-2.7,100,4.589031
-2.8,100,4.630825
-2.7,100,4.673611
-2.693621,100,4.71597
-2.4,100,4.757894
-2.350358,100,4.813566
-1.983465,100,4.855561
-3.3,100,4.897621
-2.579193,100,4.939325
-2.699929,100,4.981128
-2.1,100,5.022706
-2.299176,100,5.064746
-3.0,100,5.10742
-2.499532,100,5.149616
-1.7,100,5.191364
-3.1,100,5.246367
-2.6,100,5.850181
-2.187296,100,5.892485
-2.0,100,5.934238
-1.8,100,5.975862
-1.7,100,6.017738
-2.1,100,6.05974
-2.4,100,6.101665
-2.4,100,6.143511
-2.4,100,6.185423
-0.34562,100,6.240042
-1.717271,100,6.281821
-1.184579,100,6.323385
-2.0,100,6.364605
-2.5,100,6.406575
-1.9,100,6.449045
-1.383109,100,6.491661
-2.085851,100,6.5336
-2.3,100,6.57556
-2.158305,100,6.617422
-1.381191,100,6.672373
-2.1,100,6.714296
-0.6,100,7.310838
-1.342318,100,7.352256
-1.2,100,7.393407
-1.4,100,7.435304
-1.5,100,7.477735
-1.799675,100,7.519804
-1.799999,100,7.561685
-1.5,100,7.603331
-1.2,100,7.657868
-1.19443,100,7.700623
-0.9,100,7.743175
