#{"t_start": 1679419415.7957947, "env_id": null}
r,l,t
-5.1,100,0.185584
-4.4,100,0.227301
-5.399771,100,0.269102
-5.3,100,0.311006
-4.8,100,0.352578
-4.2,100,0.394117
-4.204616,100,0.435902
-4.396517,100,0.477912
-5.699991,100,0.519928
-4.099918,100,0.561529
-4.517478,100,0.753514
-4.59998,100,0.795699
-4.9,100,0.837906
-4.9,100,0.880085
-4.9,100,0.922365
-4.9,100,0.964897
-4.8,100,1.007036
-4.6,100,1.049034
-4.324731,100,1.091198
-5.9,100,1.133625
-4.4,100,1.480878
-3.9,100,1.522628
-3.498216,100,1.565183
-4.048951,100,1.608067
-6.1,100,1.65202
-4.1,100,1.694042
-4.7,100,1.73644
-3.799964,100,1.778469
-4.092453,100,1.820413
-3.9,100,1.862421
-4.6,100,2.006102
-4.799994,100,2.048092
-4.5,100,2.089953
-3.5,100,2.131756
-4.0,100,2.173855
-4.499995,100,2.215732
-5.006212,100,2.257792
-5.1,100,2.300051
-4.4,100,2.342315
-3.9,100,2.383942
-4.885624,100,2.635728
-4.6,100,2.67768
-4.171787,100,2.7197
-3.5,100,2.761303
-3.999763,100,2.803309
-3.698363,100,2.845039
-4.43401,100,2.887054
-2.809264,100,2.928716
-3.580486,100,2.970683
-3.700611,100,3.012864
-3.4,100,3.092395
-3.2,100,3.134434
-3.130084,100,3.176295
-3.819144,100,3.218448
-3.043139,100,3.260168
-3.8,100,3.302269
-3.653304,100,3.344093
-1.278756,100,3.385352
-4.5,100,3.427575
-2.688591,100,3.469222
-2.117634,100,3.551785
-2.334772,100,3.762716
-3.899999,100,3.804789
-2.393461,100,3.846553
-4.399998,100,3.888897
-3.0,100,3.930461
-4.0,100,3.972523
-3.2,100,4.014313
-3.494358,100,4.056208
-3.5,100,4.098446
-2.678556,100,4.181354
-2.250883,100,4.222928
-1.9,100,4.264086
-3.027542,100,4.305502
-3.3,100,4.346985
-2.8,100,4.388272
-3.899984,100,4.429813
-3.4,100,4.472084
-2.499532,100,4.513272
-2.3,100,4.554714
-3.0,100,4.640498
-2.6,100,4.851814
-1,13,4.857149
-2.3,100,4.898373
-3.246894,100,4.940088
-1.799993,100,4.98116
-1.874832,100,5.022468
-2.299997,100,5.063968
-2.1,100,5.105235
-1.11359,100,5.146443
-2.2,100,5.23513
-2.2,100,5.276509
-3.4,100,5.318405
-2.3,100,5.359788
-3.382096,100,5.401487
-2.099999,100,5.443208
-2.8,100,5.484552
-1.7,100,5.526136
-1,36,5.54077
-1,7,5.543657
-2.3,100,5.585153
-1.077257,100,5.626339
-2.172347,100,5.714465
-1,49,5.734718
-1.637036,100,5.776093
-2.180248,100,5.99402
-1.2,100,6.035318
0.080554,100,6.077472
-1.798888,100,6.118953
-1,10,6.123075
-0.334462,100,6.163952
-1.609092,100,6.205364
-1.6,100,6.246916
-1.666565,100,6.340503
-2.4,100,6.381967
-1.977991,100,6.423388
-1,47,6.442432
-2.205016,100,6.484337
-0.591238,100,6.524985
-1.3,100,6.566119
-2.4,100,6.607698
-2.1,100,6.649217
-2.0,100,6.690439
-1.8,100,6.731841
-0.164427,100,6.823528
-1.653058,100,6.864995
-1.289448,100,6.906415
-0.408729,100,7.113496
-1.3,100,7.154691
-0.899041,100,7.195664
-1,51,7.216378
-1,19,7.224138
-2.0,100,7.265504
-1.099354,100,7.306536
-1.9,100,7.347801
-1,18,7.355142
-2.287002,100,7.447848
-1,14,7.453733
-0.468708,100,7.494513
0.057957,100,7.535354
-0.594391,100,7.576256
-1,19,7.58397
-0.2,100,7.624454
-2.99796,100,7.665989
-1.140304,100,7.70724
0.358776,100,7.74845
-0.711112,100,7.78945
-0.291172,100,7.8303
-1.4,100,7.926618
-0.551504,100,7.967641
-1.699857,100,8.009025
-1,42,8.026264
-0.2,100,8.240937
-1,48,8.260555
0.138348,100,8.3015
-1,32,8.314532
-1,29,8.326328
-1,30,8.338519
-1,8,8.341803
-0.7,100,8.382529
-0.105656,100,8.423206
