#{"t_start": 1679349299.2686498, "env_id": null}
r,l,t
-115.166667,1500,1.759363
-119.886757,1500,3.356541
-118.684124,1500,4.992582
-31.857319,394,5.392372
-117.801448,1500,9.031596
-111.021831,1500,10.683783
-114.822142,1500,12.22333
-114.193775,1500,13.794684
-114.040274,1500,17.482546
-101.260047,1500,19.157523
-102.957754,1500,20.711227
-1.76113,56,20.759706
-98.245742,1500,22.326012
-101.616029,1500,25.797557
-26.690066,469,26.319128
-12.255152,200,26.512214
-87.917929,1500,28.130039
-90.221634,1500,29.619004
-0.866989,16,29.633056
-94.28121,1500,31.233901
-24.700617,407,31.689741
-51.599473,878,34.560489
-1.599824,15,34.579542
-48.848279,826,35.493393
-61.266068,1100,36.562096
-83.162509,1500,38.218884
-2.051578,59,38.283716
-24.478866,459,38.726999
-12.006183,241,38.962798
-69.327061,1237,40.39387
-10.614024,170,40.583208
-23.04954,449,42.932212
-17.312415,331,43.364673
-12.908206,246,43.629452
-1.890738,48,43.688127
-1.735265,22,43.713242
-21.482844,417,44.221119
-6.698863,187,44.402065
-7.331637,182,44.603258
-23.533345,436,45.183842
-0.951964,21,45.202302
-1.956306,17,45.221533
-3.231206,74,45.291181
-2.273651,62,45.565618
-4.443621,76,45.675917
-1.591192,29,45.719908
-2.078558,20,45.748208
-8.269424,201,46.042351
-14.666661,287,46.462745
-3.807125,81,46.58952
-29.630867,580,48.678739
-17.10369,295,48.988044
-6.59259,118,49.116067
-7.137807,124,49.254079
-4.196841,68,49.313913
-7.930138,133,49.626822
-2.343384,45,49.666382
-2.783038,74,49.741235
-14.9458,254,49.992596
-2.648356,41,50.047918
-2.601226,46,50.559694
-7.457765,154,50.788565
-34.984238,731,52.014186
-1.906423,15,52.027952
-6.503566,96,52.111643
-7.403869,134,52.253838
-6.780533,152,52.39328
-2.939238,62,52.446665
-10.057533,172,55.588496
-1.062079,22,55.621353
-2.356612,34,55.674181
-3.275435,82,55.779788
-0.591977,20,55.806272
-3.619513,96,55.945299
-1.439655,18,55.971475
-2.216153,37,56.027725
-4.070778,78,56.138847
-1.966954,24,56.16336
-1.4,12,56.173855
-3.796925,58,56.22559
-22.325443,432,56.68317
-3.544946,103,58.069222
-0.523434,23,58.098955
-1.11028,23,58.129497
-3.094451,37,58.181428
-14.43454,311,58.60181
-7.131661,156,58.809368
-3.738216,75,58.903736
-1.107456,45,58.954794
-1.274661,6,58.964116
-5.162488,117,59.096884
-4.416082,114,59.197775
-3.542195,50,59.24263
-3.252064,42,59.522687
-3.856736,72,59.609329
-4.549459,75,59.699433
-4.025694,84,59.801022
-4.020531,73,59.894789
-2.96834,34,59.937548
-4.872468,83,60.042627
-8.841445,177,60.258916
-0.815299,20,60.283691
-2.413604,46,60.34398
-2.220965,47,60.405087
-1.387718,16,60.425281
-2.49986,26,60.461623
-2.009027,46,60.521745
-0.031951,55,60.589804
-3.527217,91,60.700104
-0.630389,27,60.732537
-9.520841,177,61.073786
-8.068427,169,61.247213
-10.023837,196,61.540175
-0.775401,10,61.554494
-17.634746,359,61.975319
-6.0508,124,62.468136
-2.891791,30,62.518794
-4.777933,91,62.699551
-1.287424,22,62.747466
-1.344171,35,62.818517
-13.960824,299,63.14167
-3.65795,81,63.231622
-15.032624,344,63.572494
-9.3031,223,63.946157
-17.476919,354,64.365708
-0.7944,11,64.376239
-1.290723,17,64.397883
-7.154516,139,64.660491
-2.351604,106,64.818799
-4.410957,71,64.890794
-1.220897,11,64.902835
-8.573686,181,67.906885
-2.767495,46,67.969025
-3.957339,79,68.075112
-1.732436,35,68.125282
-1.470602,9,68.140497
-3.60517,70,68.284025
-5.625131,116,68.421126
-6.723282,130,68.558361
-5.758435,154,68.698629
-0.226086,25,68.728485
-1.013375,22,68.747471
0.690879,7,68.75368
-1.399358,8,68.760609
-7.383602,194,68.958192
0.900015,22,68.977751
-1.428967,45,69.209848
-4.56247,86,69.329524
-2.599752,34,69.378474
-1.975963,27,69.417233
-9.093481,157,69.643324
-2.259966,41,69.700876
-1.248888,50,69.775838
-1.279593,30,69.818247
-1.137862,29,69.862361
-1.529468,22,69.894007
-1.929549,30,69.937233
-0.701569,23,69.971743
-1.016862,10,69.987387
-2.221842,30,70.03231
-1.799958,18,70.057566
-0.610257,18,70.084403
-4.44578,99,70.231735
-1.8,15,70.25347
-3.575913,67,70.348051
-2.991129,98,70.488011
-1.90392,59,70.572201
-2.704003,37,70.626424
-1.307198,40,70.997883
-2.099916,18,71.023124
-2.607384,37,71.068419
-0.190848,36,71.110641
-0.16818,11,71.120646
-1.541777,17,71.136074
-1.552638,42,71.173271
-2.434813,79,71.242876
0.44758,20,71.260381
-1.816163,60,71.358575
-1.867345,17,71.37427
-1.299914,13,71.385633
-2.383987,38,71.419562
-2.46662,61,71.474412
-1.68803,29,71.50018
-0.725076,10,71.513736
-0.950397,15,71.535175
-2.181348,18,71.55982
-1.745839,25,71.586693
-0.332666,18,71.604671
-3.279961,54,71.651953
-4.55172,77,71.724721
-0.80617,41,71.760447
-4.415897,143,71.939348
-3.851825,79,72.020626
-1.732565,18,72.089237
-1.404811,20,72.114766
-3.031963,53,72.180391
-0.264619,18,72.201938
-1.548379,31,72.239685
-4.515997,68,72.361078
-1.461521,10,72.375693
-1.645467,21,72.416181
-1.895052,20,72.458891
-2.393682,23,72.493102
-2.572653,47,72.555956
-6.924194,102,72.677552
-3.163411,51,72.72311
-3.601503,89,72.814359
-3.161526,54,72.861217
-1.402465,8,72.868433
-3.989558,74,72.932166
-2.443112,62,72.985729
-3.652033,133,73.107951
-3.512258,78,73.17572
-1.873045,44,73.369909
-1.496112,17,73.385194
-2.879865,37,73.418568
-9.107808,211,73.620891
-0.805912,18,73.643449
-2.388815,28,73.669899
-5.516888,137,73.792418
-3.337149,64,73.888436
-1.120926,27,73.926382
0.183867,18,73.950833
-3.80274,56,74.022799
-0.550967,18,74.039669
-1.616935,43,74.090582
-3.143696,48,74.159329
-4.764456,82,74.284806
-1.361002,41,74.34997
-2.299988,21,74.380498
-3.844527,60,74.471291
-2.304224,49,74.553676
-0.836816,18,74.746763
-1.980249,25,74.82359
-1.542809,49,74.868488
-4.671624,74,74.93557
-2.534555,49,74.978548
-5.677661,97,75.074883
-1.568952,15,75.088075
-1,6,75.093746
-5.30654,87,75.172601
-1.529344,20,75.191792
-5.852233,151,75.352589
-3.880309,88,75.458394
-2.810591,51,75.504538
-2.661452,28,75.530503
-2.094194,17,75.546392
-2.427856,38,75.583144
-2.309666,41,75.624758
-2.790741,61,75.731021
-2.88458,48,75.82706
-2.099142,18,75.859713
-3.937038,134,76.341385
-0.638853,14,76.354969
-1.899531,12,76.36679
-5.942361,108,78.498509
-2.2,24,78.519305
-3.273928,69,78.580112
-1.982055,37,78.611441
-2.043925,37,78.642815
-2.096603,24,78.663127
-5.817066,103,78.78441
-0.80552,4,78.787926
-1.357127,25,78.809243
-2.125336,47,78.85111
-2.693774,71,78.912156
-3.425743,52,78.972522
