#{"t_start": 1677961218.7833822, "env_id": null}
r,l,t
-15.0,300,0.186723
-13.956783,300,0.325792
-14.6,300,0.474542
-13.9,300,0.629493
-14.692474,300,0.769152
-14.8,300,0.908781
-15.196963,300,1.694707
-12.099972,300,1.833021
-14.099999,300,1.971571
-11.2,300,2.10971
-12.8,300,2.259876
-12.721126,300,2.398827
-12.1,300,2.538811
-11.0,300,3.312361
-8.599997,300,3.450616
-11.293185,300,3.590424
-8.7,300,3.739707
-9.3,300,3.877744
-9.2,300,4.014852
-10.6,300,4.15291
-8.699849,300,4.918195
-7.38201,300,5.056231
-6.207016,300,5.195137
-8.14786,300,5.345126
-6.899586,300,5.481985
-6.321048,300,5.618516
-6.763276,300,5.769725
-6.2,300,6.523862
-4.519903,300,6.660303
-5.853671,300,6.79783
-5.9,300,6.950752
-4.7,300,7.086781
-6.499997,300,7.223635
-3.471297,300,7.372668
-2.881292,300,8.129714
-4.8,300,8.265872
-4.188522,300,8.414283
-3.072785,300,8.549303
-3.8,300,8.684686
-3.7,300,8.819622
-3.7,300,9.585094
-1.49497,300,9.719722
-10,17,9.727338
-2.29987,300,9.862988
-1.812,300,10.015015
-2.076352,300,10.151253
-10,31,10.165259
-2.295849,300,10.30024
-10,10,10.304724
-0.83498,300,10.451998
-10,4,10.453848
