x,y,seed,agent
5000,-4.18683812,1,PPO
5100,-4.13683812,1,PPO
5200,-4.120838120000001,1,PPO
5300,-4.055539480000001,1,PPO
5400,-3.996335860000001,1,PPO
5500,-3.978153880000001,1,PPO
5600,-3.9581538800000007,1,PPO
5700,-3.9211276400000012,1,PPO
5800,-3.90130132,1,PPO
5900,-3.8653015000000006,1,PPO
6000,-3.8341883600000006,1,PPO
6100,-3.7923174000000013,1,PPO
6200,-3.73234334,1,PPO
6300,-3.70034332,1,PPO
6400,-3.643956100000001,1,PPO
6500,-3.5979560800000012,1,PPO
6600,-3.55395608,1,PPO
6700,-3.5139560800000007,1,PPO
6800,-3.47595608,1,PPO
6900,-3.44333388,1,PPO
7000,-3.373333880000001,1,PPO
7100,-3.3263410400000004,1,PPO
7200,-3.27601034,1,PPO
7300,-3.28682058,1,PPO
7400,-3.2570926599999988,1,PPO
7500,-3.23109124,1,PPO
7600,-3.1830912399999987,1,PPO
7700,-3.139074759999999,1,PPO
7800,-3.0950747799999987,1,PPO
7900,-3.0790916999999998,1,PPO
8000,-3.0230916999999997,1,PPO
8100,-3.0090916999999986,1,PPO
8200,-2.98109182,1,PPO
8300,-2.9388377399999994,1,PPO
8400,-2.89283774,1,PPO
8500,-2.84683774,1,PPO
8600,-2.78683774,1,PPO
8700,-2.74725584,1,PPO
8800,-2.7272558399999998,1,PPO
8900,-2.6952558399999997,1,PPO
9000,-2.65925584,1,PPO
9100,-2.58532822,1,PPO
9200,-2.54767364,1,PPO
9300,-2.5076603200000003,1,PPO
9400,-2.4956603200000003,1,PPO
9500,-2.5049564600000003,1,PPO
9600,-2.4894231600000003,1,PPO
9700,-2.4527446200000003,1,PPO
9800,-2.425056900000001,1,PPO
9900,-2.399675600000001,1,PPO
10000,-2.4008294800000005,1,PPO
10100,-2.376453300000001,1,PPO
10200,-2.3464533000000003,1,PPO
10300,-2.3157565200000008,1,PPO
10400,-2.2958065000000007,1,PPO
10500,-2.2419884800000007,1,PPO
10600,-2.2059884800000007,1,PPO
10700,-2.188922400000001,1,PPO
10800,-2.1568118800000007,1,PPO
10900,-2.114811860000001,1,PPO
11000,-2.0939266400000007,1,PPO
11100,-2.0694480400000006,1,PPO
11200,-2.0613111000000006,1,PPO
11300,-2.013311120000001,1,PPO
11400,-2.003698340000001,1,PPO
11500,-1.9754381200000009,1,PPO
11600,-1.959437780000001,1,PPO
11700,-1.9314377800000009,1,PPO
11800,-1.9054377800000009,1,PPO
11807,-1.8715653600000013,1,PPO
11907,-1.8515653600000013,1,PPO
12007,-1.8385582000000007,1,PPO
12107,-1.822016180000001,1,PPO
12207,-1.7820161800000012,1,PPO
12307,-1.760432320000001,1,PPO
12407,-1.726433740000001,1,PPO
12507,-1.7124337400000007,1,PPO
12607,-1.6864267200000007,1,PPO
12707,-1.6404267000000003,1,PPO
12807,-1.5971182800000006,1,PPO
12907,-1.5911004000000006,1,PPO
13007,-1.5591004000000004,1,PPO
13107,-1.5251004000000004,1,PPO
13207,-1.505349700000001,1,PPO
13307,-1.4853497000000009,1,PPO
13407,-1.4833043400000006,1,PPO
13507,-1.4673043200000002,1,PPO
